Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	665.862	671.942	500	1600	S18_20180304_100004	SVM	0.457	female.gibbon
2	Spectrogram 1	1	665.862	671.942	500	1600	S18_20180304_100004	RF	0.144	female.gibbon
3	Spectrogram 1	1	913.27	923.481	500	1600	S18_20180304_100004	SVM	0.311	female.gibbon
4	Spectrogram 1	1	913.27	923.481	500	1600	S18_20180304_100004	RF	0.258	female.gibbon
5	Spectrogram 1	1	951.422	956.572	500	1600	S18_20180304_100004	SVM	0.591	female.gibbon
6	Spectrogram 1	1	951.422	956.572	500	1600	S18_20180304_100004	RF	0.2	female.gibbon
7	Spectrogram 1	1	1283.973	1295.743	500	1600	S18_20180304_100004	SVM	0.3565	female.gibbon
8	Spectrogram 1	1	1283.973	1295.743	500	1600	S18_20180304_100004	RF	0.189	female.gibbon
9	Spectrogram 1	1	1297.923	1303.763	500	1600	S18_20180304_100004	SVM	0.385	female.gibbon
10	Spectrogram 1	1	1297.923	1303.763	500	1600	S18_20180304_100004	RF	0.204	female.gibbon
11	Spectrogram 1	1	1309.584	1348.295	500	1600	S18_20180304_100004	SVM	0.1415	female.gibbon
12	Spectrogram 1	1	1309.584	1348.295	500	1600	S18_20180304_100004	RF	0.155	female.gibbon
13	Spectrogram 1	1	1353.695	1359.225	500	1600	S18_20180304_100004	SVM	0.328	female.gibbon
14	Spectrogram 1	1	1353.695	1359.225	500	1600	S18_20180304_100004	RF	0.138	female.gibbon
15	Spectrogram 1	1	1375.716	1380.866	500	1600	S18_20180304_100004	SVM	0.304	female.gibbon
16	Spectrogram 1	1	1375.716	1380.866	500	1600	S18_20180304_100004	RF	0.124	female.gibbon
17	Spectrogram 1	1	1420.747	1429.308	500	1600	S18_20180304_100004	SVM	0.148	female.gibbon
18	Spectrogram 1	1	1420.747	1429.308	500	1600	S18_20180304_100004	RF	0.132	female.gibbon
19	Spectrogram 1	1	1440.738	1453.549	500	1600	S18_20180304_100004	SVM	0.049	female.gibbon
20	Spectrogram 1	1	1440.738	1453.549	500	1600	S18_20180304_100004	RF	0.136	female.gibbon
21	Spectrogram 1	1	1454.819	1477.979	500	1600	S18_20180304_100004	SVM	0.2585	female.gibbon
22	Spectrogram 1	1	1454.819	1477.979	500	1600	S18_20180304_100004	RF	0.197	female.gibbon
23	Spectrogram 1	1	1489.48	1496.89	500	1600	S18_20180304_100004	SVM	0.292	female.gibbon
24	Spectrogram 1	1	1489.48	1496.89	500	1600	S18_20180304_100004	RF	0.172	female.gibbon
25	Spectrogram 1	1	1505.82	1518.001	500	1600	S18_20180304_100004	SVM	0.153	female.gibbon
26	Spectrogram 1	1	1505.82	1518.001	500	1600	S18_20180304_100004	RF	0.088	female.gibbon
27	Spectrogram 1	1	1572.642	1579.493	500	1600	S18_20180304_100004	SVM	0.129	female.gibbon
28	Spectrogram 1	1	1572.642	1579.493	500	1600	S18_20180304_100004	RF	0.066	female.gibbon
29	Spectrogram 1	1	1582.343	1588.493	500	1600	S18_20180304_100004	SVM	0.142	female.gibbon
30	Spectrogram 1	1	1582.343	1588.493	500	1600	S18_20180304_100004	RF	0.082	female.gibbon
