Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	21.161	27.051	500	1600	S14_20180220_080003	SVM	0.016	female.gibbon
2	Spectrogram 1	1	21.161	27.051	500	1600	S14_20180220_080003	RF	0.046	female.gibbon
3	Spectrogram 1	1	210.567	215.857	500	1600	S14_20180220_080003	SVM	0.01	female.gibbon
4	Spectrogram 1	1	210.567	215.857	500	1600	S14_20180220_080003	RF	0.036	female.gibbon
5	Spectrogram 1	1	1117.277	1122.877	500	1600	S14_20180220_080003	SVM	0.003	female.gibbon
6	Spectrogram 1	1	1117.277	1122.877	500	1600	S14_20180220_080003	RF	0.02	female.gibbon
7	Spectrogram 1	1	1615.854	1621.014	500	1600	S14_20180220_080003	SVM	0.004	female.gibbon
8	Spectrogram 1	1	1615.854	1621.014	500	1600	S14_20180220_080003	RF	0.012	female.gibbon
9	Spectrogram 1	1	1857.252	1862.322	500	1600	S14_20180220_080003	SVM	0.077	female.gibbon
10	Spectrogram 1	1	1857.252	1862.322	500	1600	S14_20180220_080003	RF	0.104	female.gibbon
11	Spectrogram 1	1	1892.103	1898.773	500	1600	S14_20180220_080003	SVM	0.152	female.gibbon
12	Spectrogram 1	1	1892.103	1898.773	500	1600	S14_20180220_080003	RF	0.272	female.gibbon
13	Spectrogram 1	1	2150.942	2161.372	500	1600	S14_20180220_080003	SVM	0.021	female.gibbon
14	Spectrogram 1	1	2150.942	2161.372	500	1600	S14_20180220_080003	RF	0.038	female.gibbon
15	Spectrogram 1	1	2184.473	2196.253	500	1600	S14_20180220_080003	SVM	0.993	female.gibbon
16	Spectrogram 1	1	2184.473	2196.253	500	1600	S14_20180220_080003	RF	0.524	female.gibbon
17	Spectrogram 1	1	2297.917	2307.187	500	1600	S14_20180220_080003	SVM	0.999	female.gibbon
18	Spectrogram 1	1	2297.917	2307.187	500	1600	S14_20180220_080003	RF	0.836	female.gibbon
19	Spectrogram 1	1	2437.711	2447.962	500	1600	S14_20180220_080003	SVM	1	female.gibbon
20	Spectrogram 1	1	2437.711	2447.962	500	1600	S14_20180220_080003	RF	0.886	female.gibbon
21	Spectrogram 1	1	2669.839	2683.48	500	1600	S14_20180220_080003	SVM	0.007	female.gibbon
22	Spectrogram 1	1	2669.839	2683.48	500	1600	S14_20180220_080003	RF	0.028	female.gibbon
23	Spectrogram 1	1	2684.49	2692.26	500	1600	S14_20180220_080003	SVM	0.009	female.gibbon
24	Spectrogram 1	1	2684.49	2692.26	500	1600	S14_20180220_080003	RF	0.04	female.gibbon
25	Spectrogram 1	1	3141.695	3150.755	500	1600	S14_20180220_080003	SVM	0.042	female.gibbon
26	Spectrogram 1	1	3141.695	3150.755	500	1600	S14_20180220_080003	RF	0.218	female.gibbon
27	Spectrogram 1	1	3277.659	3282.859	500	1600	S14_20180220_080003	SVM	0.027	female.gibbon
28	Spectrogram 1	1	3277.659	3282.859	500	1600	S14_20180220_080003	RF	0.126	female.gibbon
29	Spectrogram 1	1	3325.061	3331.611	500	1600	S14_20180220_080003	SVM	0.03	female.gibbon
30	Spectrogram 1	1	3325.061	3331.611	500	1600	S14_20180220_080003	RF	0.07	female.gibbon
31	Spectrogram 1	1	3500.227	3516.227	500	1600	S14_20180220_080003	SVM	0.004	female.gibbon
32	Spectrogram 1	1	3500.227	3516.227	500	1600	S14_20180220_080003	RF	0.06	female.gibbon
33	Spectrogram 1	1	3518.687	3524.718	500	1600	S14_20180220_080003	SVM	0.003	female.gibbon
34	Spectrogram 1	1	3518.687	3524.718	500	1600	S14_20180220_080003	RF	0.044	female.gibbon
35	Spectrogram 1	1	3529.758	3541.888	500	1600	S14_20180220_080003	SVM	0.0075	female.gibbon
36	Spectrogram 1	1	3529.758	3541.888	500	1600	S14_20180220_080003	RF	0.088	female.gibbon
37	Spectrogram 1	1	3656.112	3661.662	500	1600	S14_20180220_080003	SVM	0.011	female.gibbon
38	Spectrogram 1	1	3656.112	3661.662	500	1600	S14_20180220_080003	RF	0.1	female.gibbon
39	Spectrogram 1	1	3749.295	3755.685	500	1600	S14_20180220_080003	SVM	0.044	female.gibbon
40	Spectrogram 1	1	3749.295	3755.685	500	1600	S14_20180220_080003	RF	0.156	female.gibbon
41	Spectrogram 1	1	3763.275	3768.486	500	1600	S14_20180220_080003	SVM	0.011	female.gibbon
42	Spectrogram 1	1	3763.275	3768.486	500	1600	S14_20180220_080003	RF	0.036	female.gibbon
43	Spectrogram 1	1	3916.591	3924.231	500	1600	S14_20180220_080003	SVM	0.017	female.gibbon
44	Spectrogram 1	1	3916.591	3924.231	500	1600	S14_20180220_080003	RF	0.136	female.gibbon
45	Spectrogram 1	1	3937.051	3951.572	500	1600	S14_20180220_080003	SVM	0.0285	female.gibbon
46	Spectrogram 1	1	3937.051	3951.572	500	1600	S14_20180220_080003	RF	0.107	female.gibbon
47	Spectrogram 1	1	3974.152	3979.493	500	1600	S14_20180220_080003	SVM	0.069	female.gibbon
48	Spectrogram 1	1	3974.152	3979.493	500	1600	S14_20180220_080003	RF	0.212	female.gibbon
49	Spectrogram 1	1	3982.163	3988.833	500	1600	S14_20180220_080003	SVM	0.064	female.gibbon
50	Spectrogram 1	1	3982.163	3988.833	500	1600	S14_20180220_080003	RF	0.188	female.gibbon
51	Spectrogram 1	1	4716.217	4723.167	500	1600	S14_20180220_080003	SVM	0.012	female.gibbon
52	Spectrogram 1	1	4716.217	4723.167	500	1600	S14_20180220_080003	RF	0.016	female.gibbon
53	Spectrogram 1	1	4832.131	4837.481	500	1600	S14_20180220_080003	SVM	0.015	female.gibbon
54	Spectrogram 1	1	4832.131	4837.481	500	1600	S14_20180220_080003	RF	0.016	female.gibbon
