Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	21.161	27.051	500	1600	S14_20180220_080003	SVM	0.071	female.gibbon
2	Spectrogram 1	1	21.161	27.051	500	1600	S14_20180220_080003	RF	0.14	female.gibbon
3	Spectrogram 1	1	210.567	215.857	500	1600	S14_20180220_080003	SVM	0.053	female.gibbon
4	Spectrogram 1	1	210.567	215.857	500	1600	S14_20180220_080003	RF	0.07	female.gibbon
5	Spectrogram 1	1	1117.277	1122.877	500	1600	S14_20180220_080003	SVM	0.066	female.gibbon
6	Spectrogram 1	1	1117.277	1122.877	500	1600	S14_20180220_080003	RF	0.064	female.gibbon
7	Spectrogram 1	1	1615.854	1621.014	500	1600	S14_20180220_080003	SVM	0.007	female.gibbon
8	Spectrogram 1	1	1615.854	1621.014	500	1600	S14_20180220_080003	RF	0.074	female.gibbon
9	Spectrogram 1	1	1857.252	1862.322	500	1600	S14_20180220_080003	SVM	0.244	female.gibbon
10	Spectrogram 1	1	1857.252	1862.322	500	1600	S14_20180220_080003	RF	0.176	female.gibbon
11	Spectrogram 1	1	1892.103	1898.773	500	1600	S14_20180220_080003	SVM	0.15	female.gibbon
12	Spectrogram 1	1	1892.103	1898.773	500	1600	S14_20180220_080003	RF	0.234	female.gibbon
13	Spectrogram 1	1	2150.942	2161.372	500	1600	S14_20180220_080003	SVM	0.009	female.gibbon
14	Spectrogram 1	1	2150.942	2161.372	500	1600	S14_20180220_080003	RF	0.064	female.gibbon
15	Spectrogram 1	1	2184.473	2196.253	500	1600	S14_20180220_080003	SVM	0.799	female.gibbon
16	Spectrogram 1	1	2184.473	2196.253	500	1600	S14_20180220_080003	RF	0.532	female.gibbon
17	Spectrogram 1	1	2297.917	2307.187	500	1600	S14_20180220_080003	SVM	0.952	female.gibbon
18	Spectrogram 1	1	2297.917	2307.187	500	1600	S14_20180220_080003	RF	0.836	female.gibbon
19	Spectrogram 1	1	2437.711	2447.962	500	1600	S14_20180220_080003	SVM	0.993	female.gibbon
