Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	150.305	158.775	500	1600	S17_20180219_080003	SVM	0.244	female.gibbon
2	Spectrogram 1	1	150.305	158.775	500	1600	S17_20180219_080003	RF	0.264	female.gibbon
3	Spectrogram 1	1	179.956	185.116	500	1600	S17_20180219_080003	SVM	0.238	female.gibbon
4	Spectrogram 1	1	179.956	185.116	500	1600	S17_20180219_080003	RF	0.236	female.gibbon
5	Spectrogram 1	1	246.178	252.048	500	1600	S17_20180219_080003	SVM	0.311	female.gibbon
6	Spectrogram 1	1	246.178	252.048	500	1600	S17_20180219_080003	RF	0.28	female.gibbon
7	Spectrogram 1	1	266.609	273.789	500	1600	S17_20180219_080003	SVM	0.27	female.gibbon
8	Spectrogram 1	1	266.609	273.789	500	1600	S17_20180219_080003	RF	0.232	female.gibbon
9	Spectrogram 1	1	283.229	295.84	500	1600	S17_20180219_080003	SVM	0.412	female.gibbon
10	Spectrogram 1	1	283.229	295.84	500	1600	S17_20180219_080003	RF	0.282	female.gibbon
11	Spectrogram 1	1	308.58	314.13	500	1600	S17_20180219_080003	SVM	0.533	female.gibbon
12	Spectrogram 1	1	308.58	314.13	500	1600	S17_20180219_080003	RF	0.372	female.gibbon
13	Spectrogram 1	1	349.912	355.202	500	1600	S17_20180219_080003	SVM	0.374	female.gibbon
14	Spectrogram 1	1	349.912	355.202	500	1600	S17_20180219_080003	RF	0.262	female.gibbon
15	Spectrogram 1	1	385.793	392.383	500	1600	S17_20180219_080003	SVM	0.336	female.gibbon
16	Spectrogram 1	1	385.793	392.383	500	1600	S17_20180219_080003	RF	0.182	female.gibbon
17	Spectrogram 1	1	462.655	468.306	500	1600	S17_20180219_080003	SVM	0.353	female.gibbon
18	Spectrogram 1	1	462.655	468.306	500	1600	S17_20180219_080003	RF	0.24	female.gibbon
19	Spectrogram 1	1	499.827	504.997	500	1600	S17_20180219_080003	SVM	0.406	female.gibbon
20	Spectrogram 1	1	499.827	504.997	500	1600	S17_20180219_080003	RF	0.258	female.gibbon
21	Spectrogram 1	1	530.258	535.378	500	1600	S17_20180219_080003	SVM	0.428	female.gibbon
22	Spectrogram 1	1	530.258	535.378	500	1600	S17_20180219_080003	RF	0.228	female.gibbon
23	Spectrogram 1	1	540.688	549.378	500	1600	S17_20180219_080003	SVM	0.391	female.gibbon
24	Spectrogram 1	1	540.688	549.378	500	1600	S17_20180219_080003	RF	0.174	female.gibbon
25	Spectrogram 1	1	556.779	564.329	500	1600	S17_20180219_080003	SVM	0.399	female.gibbon
26	Spectrogram 1	1	556.779	564.329	500	1600	S17_20180219_080003	RF	0.224	female.gibbon
27	Spectrogram 1	1	570.339	576.729	500	1600	S17_20180219_080003	SVM	0.377	female.gibbon
28	Spectrogram 1	1	570.339	576.729	500	1600	S17_20180219_080003	RF	0.24	female.gibbon
29	Spectrogram 1	1	584.22	591.08	500	1600	S17_20180219_080003	SVM	0.335	female.gibbon
30	Spectrogram 1	1	584.22	591.08	500	1600	S17_20180219_080003	RF	0.174	female.gibbon
31	Spectrogram 1	1	593.13	599.42	500	1600	S17_20180219_080003	SVM	0.407	female.gibbon
32	Spectrogram 1	1	593.13	599.42	500	1600	S17_20180219_080003	RF	0.24	female.gibbon
33	Spectrogram 1	1	659.692	666.092	500	1600	S17_20180219_080003	SVM	0.289	female.gibbon
34	Spectrogram 1	1	659.692	666.092	500	1600	S17_20180219_080003	RF	0.2	female.gibbon
35	Spectrogram 1	1	690.263	699.683	500	1600	S17_20180219_080003	SVM	0.223	female.gibbon
36	Spectrogram 1	1	690.263	699.683	500	1600	S17_20180219_080003	RF	0.25	female.gibbon
37	Spectrogram 1	1	738.545	744.075	500	1600	S17_20180219_080003	SVM	0.584	female.gibbon
38	Spectrogram 1	1	738.545	744.075	500	1600	S17_20180219_080003	RF	0.38	female.gibbon
39	Spectrogram 1	1	781.146	787.256	500	1600	S17_20180219_080003	SVM	0.393	female.gibbon
40	Spectrogram 1	1	781.146	787.256	500	1600	S17_20180219_080003	RF	0.162	female.gibbon
41	Spectrogram 1	1	868.589	876.769	500	1600	S17_20180219_080003	SVM	0.274	female.gibbon
42	Spectrogram 1	1	868.589	876.769	500	1600	S17_20180219_080003	RF	0.206	female.gibbon
43	Spectrogram 1	1	900	906.99	500	1600	S17_20180219_080003	SVM	0.263	female.gibbon
44	Spectrogram 1	1	900	906.99	500	1600	S17_20180219_080003	RF	0.242	female.gibbon
45	Spectrogram 1	1	925.021	939.301	500	1600	S17_20180219_080003	SVM	0.35	female.gibbon
46	Spectrogram 1	1	925.021	939.301	500	1600	S17_20180219_080003	RF	0.33	female.gibbon
47	Spectrogram 1	1	952.382	958.932	500	1600	S17_20180219_080003	SVM	0.13	female.gibbon
48	Spectrogram 1	1	952.382	958.932	500	1600	S17_20180219_080003	RF	0.174	female.gibbon
49	Spectrogram 1	1	989.653	994.913	500	1600	S17_20180219_080003	SVM	0.292	female.gibbon
50	Spectrogram 1	1	989.653	994.913	500	1600	S17_20180219_080003	RF	0.124	female.gibbon
51	Spectrogram 1	1	1041.215	1057.195	500	1600	S17_20180219_080003	SVM	0.265	female.gibbon
52	Spectrogram 1	1	1041.215	1057.195	500	1600	S17_20180219_080003	RF	0.204	female.gibbon
53	Spectrogram 1	1	1134.448	1141.268	500	1600	S17_20180219_080003	SVM	0.379	female.gibbon
