Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
54	Spectrogram 1	1	2156.182	2162.052	500	1600	S17_20180306_080003	RF	0.096	female.gibbon
55	Spectrogram 1	1	2185.373	2195.953	500	1600	S17_20180306_080003	SVM	0.559	female.gibbon
56	Spectrogram 1	1	2185.373	2195.953	500	1600	S17_20180306_080003	RF	0.682	female.gibbon
57	Spectrogram 1	1	2308.017	2315.387	500	1600	S17_20180306_080003	SVM	0.575	female.gibbon
58	Spectrogram 1	1	2308.017	2315.387	500	1600	S17_20180306_080003	RF	0.402	female.gibbon
59	Spectrogram 1	1	2584.296	2595.737	500	1600	S17_20180306_080003	SVM	0.417	female.gibbon
60	Spectrogram 1	1	2584.296	2595.737	500	1600	S17_20180306_080003	RF	0.392	female.gibbon
61	Spectrogram 1	1	2671.649	2676.759	500	1600	S17_20180306_080003	SVM	0.28	female.gibbon
62	Spectrogram 1	1	2671.649	2676.759	500	1600	S17_20180306_080003	RF	0.374	female.gibbon
63	Spectrogram 1	1	2846.565	2856.915	500	1600	S17_20180306_080003	SVM	0.402	female.gibbon
64	Spectrogram 1	1	2846.565	2856.915	500	1600	S17_20180306_080003	RF	0.32	female.gibbon
65	Spectrogram 1	1	2879.246	2891.026	500	1600	S17_20180306_080003	SVM	0.537	female.gibbon
66	Spectrogram 1	1	2879.246	2891.026	500	1600	S17_20180306_080003	RF	0.494	female.gibbon
67	Spectrogram 1	1	2901.957	2927.828	500	1600	S17_20180306_080003	SVM	0.532	female.gibbon
68	Spectrogram 1	1	2901.957	2927.828	500	1600	S17_20180306_080003	RF	0.424	female.gibbon
69	Spectrogram 1	1	2956.059	2962.039	500	1600	S17_20180306_080003	SVM	0.724	female.gibbon
70	Spectrogram 1	1	2956.059	2962.039	500	1600	S17_20180306_080003	RF	0.644	female.gibbon
71	Spectrogram 1	1	3000.24	3005.72	500	1600	S17_20180306_080003	SVM	0.313	female.gibbon
72	Spectrogram 1	1	3000.24	3005.72	500	1600	S17_20180306_080003	RF	0.28	female.gibbon
