Date,Time start,Time end,Call type,Quality,Duration
20180217,7:57:32,8:12:33,duet,high,0:15:01
20180220,7:46:53,8:02:32,duet,med,0:15:39
20180221,6:47:32,6:52:24,duet,low,0:04:52
20180222,7:16:42,7:25:31,duet,med,0:08:49
20180222,8:47:45,8:57:08,duet,med,0:08:49
20180223,7:48:03,7:52:24,duet,med,0:04:21
20180228,8:44:14,9:00:56,duet,med,0:16:42
20180308,8:15:47,8:28:57,duet,med,0:13:10
20180309,7:12:32,7:37:32,duet,med,0:25:00
20180311,7:23:37,7:28:39,duet,med,0:05:02
20180311,9:15:20,9:31:05,duet,med,0:15:45
20180311,10:19:10,10:33:35,duet,low,0:14:25
20180312,8:08:28,8:12:56,duet,high,0:04:28
20180314,8:07:33,8:37:33,duet,med,0:30:00
20180317,8:20:41,8:41:08,duet,low,0:20:27
20180318,6:32:16,6:39:43,duet,med,0:07:27
20180319,7:07:39,7:23:13,duet,high,0:15:34
20180319,8:02:32,8:12:33,duet,low,0:10:01
20180322,6:51:57,6:59:44,duet,low,0:07:47
20180327,7:25:46,7:48:06,duet,high,0:22:20
20180328,8:32:33,8:52:32,duet,low,0:19:59
20180401,6:20:06,6:32:46,duet,high,0:12:40
20180403,7:06:19,7:34:35,duet,high,0:28:16
20180405,6:42:32,7:17:32,duet,low,0:35:00
20180411,7:33:45,7:50:29,duet,med,0:16:44
20180413,7:38:40,8:02:32,duet,med,0:23:52
20180214,13:27:34,13:47:34,rain,,0:20:00
20180214,14:42:35,14:27:36,rain,,1:20:00
20180216,14:07:35,16:12:36,rain,,2:05:01
20180217,16:12:06,17:17:36,rain,,1:05:30
20180220,2:12:21,5:27:31,rain,,3:15:10
20180221,14:57:35,16:22:36,rain,,1:25:01
20180223,13:02:34,15:02:35,rain,,2:00:01
20180223,16:47:36,17:22:36,rain,,0:35:00
20180224,12:37:34,13:22:34,rain,,0:45:00
20180224,14:42:35,16:12:36,rain,,1:30:01
20180224,17:47:36,19:17:36,rain,,1:30:00
20180225,1:22:30,1:52:30,rain,,0:30:00
20180225,8:52:32,15:57:35,rain,,7:05:03
20180226,15:32:35,16:52:36,rain,,1:20:01
20180301,17:47:36,22:12:38,rain,,4:25:02
20180302,17:12:36,18:32:36,rain,,1:20:00
20180303,14:02:34,16:07:36,rain,,2:05:02
20180304,13:02:34,13:27:34,rain,,0:25:00
20180304,16:57:36,17:37:36,rain,,0:40:00
20180307,13:32:34,14:22:35,rain,,0:50:01
20180307,19:57:37,20:07:37,rain,,0:10:00
20180308,12:47:34,13:17:34,rain,,0:30:00
20180308,14:52:35,15:02:35,rain,,0:10:00
20180308,17:22:36,17:37:35,rain,,0:14:59
20180308,21:52:37,22:02:38,rain,,0:10:01
20180310,15:12:35,16:47:36,rain,,1:35:01
20180312,19:02:37,21:22:37,rain,,2:20:00
20180313,2:17:31,2:42:23,rain,,0:24:52
20180313,17:07:36,17:37:36,rain,,0:30:00
20180314,18:22:37,18:52:37,rain,,0:30:00
20180315,17:32:36,20:17:37,rain,,2:45:01
20180315,0:32:30,1:37:30,rain,,1:05:00
20180316,19:17:37,21:42:37,rain,,2:25:00
20180317,1:02:30,1:32:30,rain,,0:30:00
20180318,14:37:35,16:32:36,rain,,1:55:01
20180319,12:42:34,12:57:34,rain,,0:15:00
20180319,15:07:35,16:12:36,rain,,1:05:01
20180320,9:12:33,10:07:34,rain,,0:55:01
20180320,12:27:34,14:32,rain,,2:04:26
20180323,4:32:31,6:32:30,rain,,1:59:59
20180323,17:02:36,17:47:36,rain,,0:45:00
20180324,1:57:30,2:02:31,rain,,0:05:01
20180324,13:27:34,21:07:37,rain,,7:40:03
20180325,14:27:35,14:47:35,rain,,0:20:00
20180326,0:00:01,5:32:31,rain,,5:32:30
20180326,9:12:33,18:37:37,rain,,9:25:04
20180327,13:32:34,13:47:34,rain,,0:15:00
20180328,1:37:30,2:57:31,rain,,1:20:01
20180328,12:42:34,15:22:35,rain,,2:40:01
20180329,0:00:01,0:37:01,rain,,0:37:00
20180329,5:42:31,6:17:32,rain,,0:35:01
20180329,17:26:57,22:11:58,rain,,4:45:01
20180401,11:17:34,13:07:34,rain,,1:50:00
20180401,23:02:38,23:17:38,rain,,0:15:00
20180402,15:27:35,17:17:36,rain,,1:50:01
20180403,12:42:00,13:47,rain,,1:05:00
20180403,18:57:36,19:47:36,rain,,0:50:00
20180403,23:02,23:59,rain,,0:57:00
20180404,0:00:01,8:52:32,rain,,8:52:31
20180405,12:12:34,12:37:34,rain,,0:25:00
20180407,7:22:32,9:47:37,rain,,2:25:05
20180408,16:32:36,17:27:36,rain,,0:55:00
20180410,12:57:34,13:12:34,rain,,0:15:00
20180411,13:42:34,14:42:35,rain,,1:00:01
20180412,10:42:34,15:57:35,rain,,5:15:01
20180224,5:52:01,6:20:16,solo,med,0:28:15
20180304,5:32:33,6:02:31,solo,low,0:29:58
20180307,5:47:32,6:12:32,solo,high,0:25:00
20180309,5:42:31,6:17:32,solo,low,0:35:01
20180311,5:42:31,6:17:32,solo,med,0:35:01
20180318,5:27:21,6:19:05,solo,low,0:51:44
20180328,5:20:29,6:32:29,solo,med,1:12:00
20180406,5:22:31,6:27:32,solo,med,1:05:01
