Date,Time start,Time end,Call type,Quality,Duration
20180213,6:17:17,6:34:52,solo,med,0:17:35
20180221,6:02:31,6:52:15,solo,low,0:49:44
20180222,8:37:13,8:50:08,duet,low,0:12:55
20180227,7:41:15,7:54:20,duet,low,0:13:05
20180306,6:32:32,7:02:32,duet,low,0:30:00
20180307,6:02:32,6:27:32,duet,low,0:25:00
20180308,5:42:46,6:25:05,solo,low,0:42:19
20180310,8:07:56,8:18:49,duet,med,0:10:53
20180312,6:13:12,7:08:20,solo,med,0:55:08
20180318,5:22:32,6:14:15,solo,high,0:51:43
20180318,6:36:43,6:43:15,duet,med,0:06:32
20180322,5:57:32,7:07:32,solo,high,1:10:00
20180324,9:02:33,9:57:33,solo,high,0:55:00
20180328,5:37:32,6:16:25,solo,med,0:38:53
20180330,6:22:32,6:47:32,solo,med,0:25:00
20180403,6:52:32,8:17:32,solo,med,1:25:00
20180410,5:22:31,6:02:31,solo,high,0:40:00
,,,,,
,,,,,
,,,,,
,,,,,
