Date,Time start,Time end,Call type,Quality,Duration
20180213,9:42:18,9:57:33,duet,med,0:15:15
20180213,6:28:45,6:59:46,solo,low,0:31:01
20180214,5:26:45,6:54:56,solo,low,1:28:11
20180217,7:35:57,7:48:48,duet,med,0:12:51
20180226,6:32:32,7:57:32,solo,med,1:25:00
20180228,5:57:31,6:28:25,solo,low,0:30:54
20180228,7:57:32,8:16:22,duet,low,0:18:50
20180301,7:24:18,7:42:59,duet,high,0:18:41
20180307,5:52:31,6:57:42,solo,low,1:05:11
20180310,7:42:48,8:02:32,duet,low,0:19:44
20180311,8:48:08,9:00:00,duet,med,0:11:52
20180318,7:36:51,7:46:24,duet,low,0:09:33
20180318,6:42:52,7:00:11,duet,low,0:17:19
20180318,5:52:33,6:09:48,solo,low,0:17:15
20180322,6:17:06,7:01:38,solo,low,0:44:32
20180327,7:35:20,7:52:32,duet,low,0:17:12
20180328,7:40:59,7:54:10,duet,med,0:13:11
20180330,5:56:33,6:47:23,solo,med,0:50:50
20180330,6:48:05,7:05:23,duet,med,0:17:18
20180405,7:12:22,7:28:32,duet,med,0:16:10
20180408,5:24:01,6:28:13,solo,med,1:04:12
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
