Date,Time start,Time end,Call type,Quality,Duration
20180218,7:46:10,8:12:33,duet,low,0:26:23
20180220,7:34:09,8:02:32,duet,low,0:28:23
20180223,7:42:32,8:13:38,duet,low,0:31:06
20180224,5:57:31,6:20:26,solo,med,0:22:55
20180224,6:21:48,6:27:00,duet,med,0:05:12
20180224,6:57:42,7:09:23,duet,low,0:11:41
20180224,7:38:24,7:48:08,duet,low,0:09:44
20180228,6:20:48,6:27:38,solo,low,0:06:50
20180228,6:28:36,6:39:16,duet,low,0:10:40
20180303,8:02:32,8:27:33,duet,low,0:25:01
20180306,6:17:00,6:42:34,solo,low,0:25:34
20180306,6:43:08,7:02:35,duet,low,0:19:27
20180307,6:26:04,6:32:20,duet,low,0:06:16
20180309,6:40:40,6:48:56,duet,low,0:08:16
20180310,7:39:08,7:46:13,duet,low,0:07:05
20180311,6:15:11,6:19:53,duet,low,0:04:42
20180314,8:07:33,8:32:33,duet,low,0:25:00
20180315,8:42:33,9:02:33,duet,low,0:20:00
20180316,6:23:31,6:32:33,duet,low,0:09:02
,,,,,
,,,,,
