Date,Time start,Time end,Call type,Quality,Duration
20180425,6:53:23,7:04:30,duet,high,0:11:07
20180426,17:42:36,18:02:37,rain,,0:20:01
20180427,14:27:35,14:47:35,rain,,0:20:00
20180428,5:27:35,5:42:32,solo,high,0:14:57
20180428,13:27:34,18:32:37,rain,,5:05:03
20180429,13:07:34,13:22:34,rain,,0:15:00
20180429,17:32:36,23:52:03,rain,,6:19:27
20180619,7:15:58,7:25:06,duet,high,0:09:08
20180619,7:28:29,7:37:04,duet,low,0:08:35
20180619,12:27:34,13:02:34,rain,,0:35:00
20180619,14:02:35,14:17:35,rain,,0:15:00
20180620,8:18:33,8:29:07,duet,high,0:10:34
20180620,9:32:19,9:48:07,duet,high,0:15:48
20180621,6:17:36,6:27:37,duet,low,0:10:01
20180621,17:17:36,18:57:35,rain,,1:39:59
20180622,8:42:33,8:51:07,duet,high,0:08:34
20180623,4:32:51,4:52:51,rain,,0:20:00
20180623,7:07:30,10:02:34,rain,,2:55:04
20180624,5:30:37,5:57:40,solo,low,0:27:03
20180624,7:08:15,7:29:07,duet,low,0:20:52
20180624,17:07:36,18:07:37,rain,,1:00:01
20180625,14:37:55,15:27:35,rain,,0:49:40
20180626,12:57:34,14:52:35,rain,,1:55:01
20180627,5:17:32,5:52:32,solo,low,0:35:00
20180627,6:15:32,6:27:22,duet,medium,0:11:50
20180627,14:42:35,15:22:35,rain,,0:40:00
20180628,13:43:17,13:44:37,orangutan,high,0:01:20
20180628,15:32:35,18:22:37,rain,,2:50:02
20180629,7:32:33,7:40:36,duet,low,0:08:03
20180629,8:08:39,8:09:44,orangutan,high,0:01:05
20180629,14:57:35,15:22:35,rain,,0:25:00
20180701,5:22:31,5:52:31,solo,high,0:30:00
20180701,8:53:04,8:59:44,duet,high,0:06:40
20180701,11:57:34,12:52:34,rain,,0:55:00
20180701,22:57:38,23:59:00,rain,,1:01:22
20180703,6:35:16,6:44:19,duet,high,0:09:03
20180703,14:42:35,16:22:36,rain,,1:40:01
