Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	150.305	158.775	500	1600	S17_20180219_080003	SVM	0.368	female.gibbon
2	Spectrogram 1	1	150.305	158.775	500	1600	S17_20180219_080003	RF	0.206	female.gibbon
3	Spectrogram 1	1	179.956	185.116	500	1600	S17_20180219_080003	SVM	0.296	female.gibbon
4	Spectrogram 1	1	179.956	185.116	500	1600	S17_20180219_080003	RF	0.184	female.gibbon
5	Spectrogram 1	1	246.178	252.048	500	1600	S17_20180219_080003	SVM	0.367	female.gibbon
6	Spectrogram 1	1	246.178	252.048	500	1600	S17_20180219_080003	RF	0.204	female.gibbon
7	Spectrogram 1	1	266.609	273.789	500	1600	S17_20180219_080003	SVM	0.311	female.gibbon
8	Spectrogram 1	1	266.609	273.789	500	1600	S17_20180219_080003	RF	0.158	female.gibbon
9	Spectrogram 1	1	283.229	295.84	500	1600	S17_20180219_080003	SVM	0.591	female.gibbon
10	Spectrogram 1	1	283.229	295.84	500	1600	S17_20180219_080003	RF	0.286	female.gibbon
11	Spectrogram 1	1	308.58	314.13	500	1600	S17_20180219_080003	SVM	0.71	female.gibbon
12	Spectrogram 1	1	308.58	314.13	500	1600	S17_20180219_080003	RF	0.484	female.gibbon
13	Spectrogram 1	1	349.912	355.202	500	1600	S17_20180219_080003	SVM	0.422	female.gibbon
14	Spectrogram 1	1	349.912	355.202	500	1600	S17_20180219_080003	RF	0.21	female.gibbon
15	Spectrogram 1	1	385.793	392.383	500	1600	S17_20180219_080003	SVM	0.334	female.gibbon
16	Spectrogram 1	1	385.793	392.383	500	1600	S17_20180219_080003	RF	0.162	female.gibbon
17	Spectrogram 1	1	462.655	468.306	500	1600	S17_20180219_080003	SVM	0.44	female.gibbon
18	Spectrogram 1	1	462.655	468.306	500	1600	S17_20180219_080003	RF	0.192	female.gibbon
19	Spectrogram 1	1	499.827	504.997	500	1600	S17_20180219_080003	SVM	0.441	female.gibbon
20	Spectrogram 1	1	499.827	504.997	500	1600	S17_20180219_080003	RF	0.17	female.gibbon
21	Spectrogram 1	1	530.258	535.378	500	1600	S17_20180219_080003	SVM	0.473	female.gibbon
22	Spectrogram 1	1	530.258	535.378	500	1600	S17_20180219_080003	RF	0.226	female.gibbon
23	Spectrogram 1	1	540.688	549.378	500	1600	S17_20180219_080003	SVM	0.317	female.gibbon
24	Spectrogram 1	1	540.688	549.378	500	1600	S17_20180219_080003	RF	0.094	female.gibbon
25	Spectrogram 1	1	556.779	564.329	500	1600	S17_20180219_080003	SVM	0.511	female.gibbon
26	Spectrogram 1	1	556.779	564.329	500	1600	S17_20180219_080003	RF	0.198	female.gibbon
27	Spectrogram 1	1	570.339	576.729	500	1600	S17_20180219_080003	SVM	0.445	female.gibbon
28	Spectrogram 1	1	570.339	576.729	500	1600	S17_20180219_080003	RF	0.166	female.gibbon
29	Spectrogram 1	1	584.22	591.08	500	1600	S17_20180219_080003	SVM	0.262	female.gibbon
30	Spectrogram 1	1	584.22	591.08	500	1600	S17_20180219_080003	RF	0.122	female.gibbon
31	Spectrogram 1	1	593.13	599.42	500	1600	S17_20180219_080003	SVM	0.387	female.gibbon
