Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	665.862	671.942	500	1600	S18_20180304_100004	SVM	0.001	female.gibbon
2	Spectrogram 1	1	665.862	671.942	500	1600	S18_20180304_100004	RF	0.014	female.gibbon
3	Spectrogram 1	1	913.27	923.481	500	1600	S18_20180304_100004	SVM	0	female.gibbon
4	Spectrogram 1	1	913.27	923.481	500	1600	S18_20180304_100004	RF	0.022	female.gibbon
5	Spectrogram 1	1	951.422	956.572	500	1600	S18_20180304_100004	SVM	0.001	female.gibbon
6	Spectrogram 1	1	951.422	956.572	500	1600	S18_20180304_100004	RF	0.004	female.gibbon
7	Spectrogram 1	1	1283.973	1295.743	500	1600	S18_20180304_100004	SVM	5e-04	female.gibbon
8	Spectrogram 1	1	1283.973	1295.743	500	1600	S18_20180304_100004	RF	0.011	female.gibbon
9	Spectrogram 1	1	1297.923	1303.763	500	1600	S18_20180304_100004	SVM	0	female.gibbon
10	Spectrogram 1	1	1297.923	1303.763	500	1600	S18_20180304_100004	RF	0.006	female.gibbon
11	Spectrogram 1	1	1309.584	1348.295	500	1600	S18_20180304_100004	SVM	0	female.gibbon
12	Spectrogram 1	1	1309.584	1348.295	500	1600	S18_20180304_100004	RF	0.015	female.gibbon
13	Spectrogram 1	1	1353.695	1359.225	500	1600	S18_20180304_100004	SVM	0	female.gibbon
14	Spectrogram 1	1	1353.695	1359.225	500	1600	S18_20180304_100004	RF	0.004	female.gibbon
15	Spectrogram 1	1	1375.716	1380.866	500	1600	S18_20180304_100004	SVM	0	female.gibbon
16	Spectrogram 1	1	1375.716	1380.866	500	1600	S18_20180304_100004	RF	0.008	female.gibbon
17	Spectrogram 1	1	1420.747	1429.308	500	1600	S18_20180304_100004	SVM	0	female.gibbon
18	Spectrogram 1	1	1420.747	1429.308	500	1600	S18_20180304_100004	RF	0.006	female.gibbon
19	Spectrogram 1	1	1440.738	1453.549	500	1600	S18_20180304_100004	SVM	0	female.gibbon
20	Spectrogram 1	1	1440.738	1453.549	500	1600	S18_20180304_100004	RF	0.002	female.gibbon
21	Spectrogram 1	1	1454.819	1477.979	500	1600	S18_20180304_100004	SVM	0	female.gibbon
22	Spectrogram 1	1	1454.819	1477.979	500	1600	S18_20180304_100004	RF	0.005	female.gibbon
23	Spectrogram 1	1	1489.48	1496.89	500	1600	S18_20180304_100004	SVM	0	female.gibbon
24	Spectrogram 1	1	1489.48	1496.89	500	1600	S18_20180304_100004	RF	0	female.gibbon
25	Spectrogram 1	1	1505.82	1518.001	500	1600	S18_20180304_100004	SVM	0.001	female.gibbon
26	Spectrogram 1	1	1505.82	1518.001	500	1600	S18_20180304_100004	RF	0.054	female.gibbon
27	Spectrogram 1	1	1572.642	1579.493	500	1600	S18_20180304_100004	SVM	0	female.gibbon
28	Spectrogram 1	1	1572.642	1579.493	500	1600	S18_20180304_100004	RF	0.036	female.gibbon
29	Spectrogram 1	1	1582.343	1588.493	500	1600	S18_20180304_100004	SVM	0	female.gibbon
30	Spectrogram 1	1	1582.343	1588.493	500	1600	S18_20180304_100004	RF	0.014	female.gibbon
31	Spectrogram 1	1	1643.985	1655.915	500	1600	S18_20180304_100004	SVM	0.079	female.gibbon
32	Spectrogram 1	1	1643.985	1655.915	500	1600	S18_20180304_100004	RF	0.212	female.gibbon
33	Spectrogram 1	1	1838.111	1888.843	500	1600	S18_20180304_100004	SVM	0.004	female.gibbon
34	Spectrogram 1	1	1838.111	1888.843	500	1600	S18_20180304_100004	RF	0.066	female.gibbon
35	Spectrogram 1	1	2289.936	2295.957	500	1600	S18_20180304_100004	SVM	0	female.gibbon
36	Spectrogram 1	1	2289.936	2295.957	500	1600	S18_20180304_100004	RF	0.004	female.gibbon
37	Spectrogram 1	1	2333.098	2338.638	500	1600	S18_20180304_100004	SVM	0	female.gibbon
38	Spectrogram 1	1	2333.098	2338.638	500	1600	S18_20180304_100004	RF	0	female.gibbon
