Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	124.814	130.984	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
2	Spectrogram 1	1	124.814	130.984	500	1600	S11_20180315_100004	RF	0.384	female.gibbon
3	Spectrogram 1	1	135.545	141.055	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
4	Spectrogram 1	1	135.545	141.055	500	1600	S11_20180315_100004	RF	0.326	female.gibbon
5	Spectrogram 1	1	141.055	148.825	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
6	Spectrogram 1	1	141.055	148.825	500	1600	S11_20180315_100004	RF	0.254	female.gibbon
7	Spectrogram 1	1	560.699	566.579	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
8	Spectrogram 1	1	560.699	566.579	500	1600	S11_20180315_100004	RF	0.144	female.gibbon
9	Spectrogram 1	1	2240.455	2247.485	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
10	Spectrogram 1	1	2240.455	2247.485	500	1600	S11_20180315_100004	RF	0.088	female.gibbon
11	Spectrogram 1	1	2255.005	2261.865	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
12	Spectrogram 1	1	2255.005	2261.865	500	1600	S11_20180315_100004	RF	0.18	female.gibbon
13	Spectrogram 1	1	2574.606	2580.156	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
14	Spectrogram 1	1	2574.606	2580.156	500	1600	S11_20180315_100004	RF	0.152	female.gibbon
15	Spectrogram 1	1	3337.111	3344.681	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
16	Spectrogram 1	1	3337.111	3344.681	500	1600	S11_20180315_100004	RF	0.098	female.gibbon
17	Spectrogram 1	1	3361.702	3367.172	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
18	Spectrogram 1	1	3361.702	3367.172	500	1600	S11_20180315_100004	RF	0.138	female.gibbon
19	Spectrogram 1	1	5110.17	5115.471	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
20	Spectrogram 1	1	5110.17	5115.471	500	1600	S11_20180315_100004	RF	0.07	female.gibbon
21	Spectrogram 1	1	5130.461	5137.071	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
22	Spectrogram 1	1	5130.461	5137.071	500	1600	S11_20180315_100004	RF	0.096	female.gibbon
23	Spectrogram 1	1	5450.992	5458.242	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
24	Spectrogram 1	1	5450.992	5458.242	500	1600	S11_20180315_100004	RF	0.09	female.gibbon
25	Spectrogram 1	1	5551.845	5557.175	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
26	Spectrogram 1	1	5551.845	5557.175	500	1600	S11_20180315_100004	RF	0.11	female.gibbon
27	Spectrogram 1	1	5586.856	5592.816	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
28	Spectrogram 1	1	5586.856	5592.816	500	1600	S11_20180315_100004	RF	0.088	female.gibbon
29	Spectrogram 1	1	5736.231	5742.371	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
30	Spectrogram 1	1	5736.231	5742.371	500	1600	S11_20180315_100004	RF	0.094	female.gibbon
31	Spectrogram 1	1	5771.732	5777.353	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
32	Spectrogram 1	1	5771.732	5777.353	500	1600	S11_20180315_100004	RF	0.1	female.gibbon
33	Spectrogram 1	1	5838.795	5845.325	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
34	Spectrogram 1	1	5838.795	5845.325	500	1600	S11_20180315_100004	RF	0.062	female.gibbon
35	Spectrogram 1	1	5873.056	5884.986	500	1600	S11_20180315_100004	SVM	0.5	female.gibbon
36	Spectrogram 1	1	5873.056	5884.986	500	1600	S11_20180315_100004	RF	0.072	female.gibbon
