Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	20.751	27.991	500	1600	S11_20180403_060002	RF	0.016	female.gibbon
2	Spectrogram 1	1	20.751	27.991	500	1600	S11_20180403_060002	SVM	0	female.gibbon
3	Spectrogram 1	1	76.353	81.593	500	1600	S11_20180403_060002	RF	0.052	female.gibbon
4	Spectrogram 1	1	76.353	81.593	500	1600	S11_20180403_060002	SVM	0.007	female.gibbon
5	Spectrogram 1	1	89.583	95.133	500	1600	S11_20180403_060002	RF	0.02	female.gibbon
6	Spectrogram 1	1	89.583	95.133	500	1600	S11_20180403_060002	SVM	0	female.gibbon
7	Spectrogram 1	1	134.054	141.195	500	1600	S11_20180403_060002	RF	0.006	female.gibbon
8	Spectrogram 1	1	134.054	141.195	500	1600	S11_20180403_060002	SVM	0	female.gibbon
9	Spectrogram 1	1	665.872	672.002	500	1600	S11_20180403_060002	RF	0.058	female.gibbon
10	Spectrogram 1	1	665.872	672.002	500	1600	S11_20180403_060002	SVM	0	female.gibbon
11	Spectrogram 1	1	900	907.29	500	1600	S11_20180403_060002	RF	0.024	female.gibbon
12	Spectrogram 1	1	900	907.29	500	1600	S11_20180403_060002	SVM	0	female.gibbon
13	Spectrogram 1	1	909.01	914.24	500	1600	S11_20180403_060002	RF	0.014	female.gibbon
14	Spectrogram 1	1	909.01	914.24	500	1600	S11_20180403_060002	SVM	0.002	female.gibbon
15	Spectrogram 1	1	924.041	933.711	500	1600	S11_20180403_060002	RF	0	female.gibbon
16	Spectrogram 1	1	924.041	933.711	500	1600	S11_20180403_060002	SVM	0	female.gibbon
17	Spectrogram 1	1	935.441	945.042	500	1600	S11_20180403_060002	RF	0.032	female.gibbon
18	Spectrogram 1	1	935.441	945.042	500	1600	S11_20180403_060002	SVM	0	female.gibbon
19	Spectrogram 1	1	957.872	968.112	500	1600	S11_20180403_060002	RF	0.022	female.gibbon
20	Spectrogram 1	1	957.872	968.112	500	1600	S11_20180403_060002	SVM	0.005	female.gibbon
21	Spectrogram 1	1	971.202	982.033	500	1600	S11_20180403_060002	RF	0.06	female.gibbon
22	Spectrogram 1	1	971.202	982.033	500	1600	S11_20180403_060002	SVM	0	female.gibbon
23	Spectrogram 1	1	1215.711	1243.571	500	1600	S11_20180403_060002	RF	0.024	female.gibbon
24	Spectrogram 1	1	1215.711	1243.571	500	1600	S11_20180403_060002	SVM	0.004	female.gibbon
25	Spectrogram 1	1	1274.102	1282.183	500	1600	S11_20180403_060002	RF	0.12	female.gibbon
26	Spectrogram 1	1	1274.102	1282.183	500	1600	S11_20180403_060002	SVM	0.003	female.gibbon
27	Spectrogram 1	1	1312.414	1318.084	500	1600	S11_20180403_060002	RF	0.004	female.gibbon
28	Spectrogram 1	1	1312.414	1318.084	500	1600	S11_20180403_060002	SVM	0	female.gibbon
29	Spectrogram 1	1	1549.722	1554.882	500	1600	S11_20180403_060002	RF	0.008	female.gibbon
30	Spectrogram 1	1	1549.722	1554.882	500	1600	S11_20180403_060002	SVM	0	female.gibbon
31	Spectrogram 1	1	1941.055	1951.005	500	1600	S11_20180403_060002	RF	0	female.gibbon
32	Spectrogram 1	1	1941.055	1951.005	500	1600	S11_20180403_060002	SVM	0	female.gibbon
33	Spectrogram 1	1	1995.457	2002.707	500	1600	S11_20180403_060002	RF	0.008	female.gibbon
34	Spectrogram 1	1	1995.457	2002.707	500	1600	S11_20180403_060002	SVM	0	female.gibbon
35	Spectrogram 1	1	2043.458	2048.688	500	1600	S11_20180403_060002	RF	0.02	female.gibbon
36	Spectrogram 1	1	2043.458	2048.688	500	1600	S11_20180403_060002	SVM	0.002	female.gibbon
37	Spectrogram 1	1	2148.352	2217.134	500	1600	S11_20180403_060002	RF	0.11	female.gibbon
38	Spectrogram 1	1	2148.352	2217.134	500	1600	S11_20180403_060002	SVM	0.003	female.gibbon
39	Spectrogram 1	1	3962.802	3968.752	500	1600	S11_20180403_060002	RF	0.194	female.gibbon
40	Spectrogram 1	1	3962.802	3968.752	500	1600	S11_20180403_060002	SVM	0.099	female.gibbon
41	Spectrogram 1	1	3977.673	3989.633	500	1600	S11_20180403_060002	RF	0.876	female.gibbon
42	Spectrogram 1	1	3977.673	3989.633	500	1600	S11_20180403_060002	SVM	0.996	female.gibbon
43	Spectrogram 1	1	4024.574	4032.054	500	1600	S11_20180403_060002	RF	0.986	female.gibbon
44	Spectrogram 1	1	4024.574	4032.054	500	1600	S11_20180403_060002	SVM	0.999	female.gibbon
45	Spectrogram 1	1	4046.445	4052.455	500	1600	S11_20180403_060002	RF	0.402	female.gibbon
46	Spectrogram 1	1	4046.445	4052.455	500	1600	S11_20180403_060002	SVM	0.219	female.gibbon
47	Spectrogram 1	1	4071.666	4086.216	500	1600	S11_20180403_060002	RF	0.958	female.gibbon
48	Spectrogram 1	1	4071.666	4086.216	500	1600	S11_20180403_060002	SVM	0.996	female.gibbon
49	Spectrogram 1	1	4138.888	4148.908	500	1600	S11_20180403_060002	RF	0.958	female.gibbon
50	Spectrogram 1	1	4138.888	4148.908	500	1600	S11_20180403_060002	SVM	0.999	female.gibbon
51	Spectrogram 1	1	4184.95	4198.05	500	1600	S11_20180403_060002	RF	0.976	female.gibbon
52	Spectrogram 1	1	4184.95	4198.05	500	1600	S11_20180403_060002	SVM	0.998	female.gibbon
53	Spectrogram 1	1	4252.282	4266.722	500	1600	S11_20180403_060002	RF	0.974	female.gibbon
54	Spectrogram 1	1	4252.282	4266.722	500	1600	S11_20180403_060002	SVM	0.999	female.gibbon
55	Spectrogram 1	1	4324.494	4338.005	500	1600	S11_20180403_060002	RF	0.946	female.gibbon
56	Spectrogram 1	1	4324.494	4338.005	500	1600	S11_20180403_060002	SVM	0.999	female.gibbon
57	Spectrogram 1	1	4394.337	4406.767	500	1600	S11_20180403_060002	RF	0.974	female.gibbon
58	Spectrogram 1	1	4394.337	4406.767	500	1600	S11_20180403_060002	SVM	0.999	female.gibbon
59	Spectrogram 1	1	4478.949	4491.18	500	1600	S11_20180403_060002	RF	0.978	female.gibbon
60	Spectrogram 1	1	4478.949	4491.18	500	1600	S11_20180403_060002	SVM	0.999	female.gibbon
61	Spectrogram 1	1	4547.162	4565.472	500	1600	S11_20180403_060002	RF	0.884	female.gibbon
62	Spectrogram 1	1	4547.162	4565.472	500	1600	S11_20180403_060002	SVM	0.993	female.gibbon
63	Spectrogram 1	1	4641.135	4658.745	500	1600	S11_20180403_060002	RF	0.586	female.gibbon
64	Spectrogram 1	1	4641.135	4658.745	500	1600	S11_20180403_060002	SVM	0.513	female.gibbon
65	Spectrogram 1	1	4699.857	4717.447	500	1600	S11_20180403_060002	RF	0.754	female.gibbon
66	Spectrogram 1	1	4699.857	4717.447	500	1600	S11_20180403_060002	SVM	0.99	female.gibbon
67	Spectrogram 1	1	4860.902	4877.123	500	1600	S11_20180403_060002	RF	0.574	female.gibbon
68	Spectrogram 1	1	4860.902	4877.123	500	1600	S11_20180403_060002	SVM	0.507	female.gibbon
69	Spectrogram 1	1	4893.773	4899.503	500	1600	S11_20180403_060002	RF	0.546	female.gibbon
70	Spectrogram 1	1	4893.773	4899.503	500	1600	S11_20180403_060002	SVM	0.548	female.gibbon
71	Spectrogram 1	1	4914.804	4920.004	500	1600	S11_20180403_060002	RF	0.234	female.gibbon
72	Spectrogram 1	1	4914.804	4920.004	500	1600	S11_20180403_060002	SVM	0.142	female.gibbon
73	Spectrogram 1	1	4921.214	4933.204	500	1600	S11_20180403_060002	RF	0.976	female.gibbon
74	Spectrogram 1	1	4921.214	4933.204	500	1600	S11_20180403_060002	SVM	0.994	female.gibbon
75	Spectrogram 1	1	4972.466	4989.586	500	1600	S11_20180403_060002	RF	0.59	female.gibbon
76	Spectrogram 1	1	4972.466	4989.586	500	1600	S11_20180403_060002	SVM	0.502	female.gibbon
77	Spectrogram 1	1	5128.501	5148.102	500	1600	S11_20180403_060002	RF	0.67	female.gibbon
78	Spectrogram 1	1	5128.501	5148.102	500	1600	S11_20180403_060002	SVM	0.8245	female.gibbon
79	Spectrogram 1	1	5161.562	5167.092	500	1600	S11_20180403_060002	RF	0.356	female.gibbon
80	Spectrogram 1	1	5161.562	5167.092	500	1600	S11_20180403_060002	SVM	0.55	female.gibbon
81	Spectrogram 1	1	5196.703	5211.884	500	1600	S11_20180403_060002	RF	0.99	female.gibbon
82	Spectrogram 1	1	5196.703	5211.884	500	1600	S11_20180403_060002	SVM	0.998	female.gibbon
83	Spectrogram 1	1	5268.306	5280.166	500	1600	S11_20180403_060002	RF	1	female.gibbon
84	Spectrogram 1	1	5268.306	5280.166	500	1600	S11_20180403_060002	SVM	0.998	female.gibbon
85	Spectrogram 1	1	5293.396	5298.967	500	1600	S11_20180403_060002	RF	0.36	female.gibbon
86	Spectrogram 1	1	5293.396	5298.967	500	1600	S11_20180403_060002	SVM	0.61	female.gibbon
87	Spectrogram 1	1	5313.807	5318.887	500	1600	S11_20180403_060002	RF	0.386	female.gibbon
88	Spectrogram 1	1	5313.807	5318.887	500	1600	S11_20180403_060002	SVM	0.134	female.gibbon
89	Spectrogram 1	1	5338.628	5349.728	500	1600	S11_20180403_060002	RF	0.984	female.gibbon
90	Spectrogram 1	1	5338.628	5349.728	500	1600	S11_20180403_060002	SVM	0.999	female.gibbon
91	Spectrogram 1	1	5364.439	5371.189	500	1600	S11_20180403_060002	RF	0.326	female.gibbon
92	Spectrogram 1	1	5364.439	5371.189	500	1600	S11_20180403_060002	SVM	0.584	female.gibbon
93	Spectrogram 1	1	5412.03	5427.031	500	1600	S11_20180403_060002	RF	0.976	female.gibbon
94	Spectrogram 1	1	5412.03	5427.031	500	1600	S11_20180403_060002	SVM	0.998	female.gibbon
95	Spectrogram 1	1	5460.132	5465.432	500	1600	S11_20180403_060002	RF	0.498	female.gibbon
96	Spectrogram 1	1	5460.132	5465.432	500	1600	S11_20180403_060002	SVM	0.108	female.gibbon
97	Spectrogram 1	1	5499.933	5512.594	500	1600	S11_20180403_060002	RF	1	female.gibbon
98	Spectrogram 1	1	5499.933	5512.594	500	1600	S11_20180403_060002	SVM	0.999	female.gibbon
99	Spectrogram 1	1	5604.577	5617.697	500	1600	S11_20180403_060002	RF	0.96	female.gibbon
100	Spectrogram 1	1	5604.577	5617.697	500	1600	S11_20180403_060002	SVM	0.998	female.gibbon
101	Spectrogram 1	1	6389.283	6394.383	500	1600	S11_20180403_060002	RF	0.036	female.gibbon
102	Spectrogram 1	1	6389.283	6394.383	500	1600	S11_20180403_060002	SVM	0.005	female.gibbon
103	Spectrogram 1	1	6915.831	6920.921	500	1600	S11_20180403_060002	RF	0.19	female.gibbon
104	Spectrogram 1	1	6915.831	6920.921	500	1600	S11_20180403_060002	SVM	0.045	female.gibbon
