Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	161.915	167.176	500	1600	S17_20180302_080003	RF	0.036	female.gibbon
2	Spectrogram 1	1	161.915	167.176	500	1600	S17_20180302_080003	SVM	0.011	female.gibbon
3	Spectrogram 1	1	352.912	377.483	500	1600	S17_20180302_080003	RF	0.088	female.gibbon
4	Spectrogram 1	1	352.912	377.483	500	1600	S17_20180302_080003	SVM	0.01	female.gibbon
5	Spectrogram 1	1	381.663	387.893	500	1600	S17_20180302_080003	RF	0.122	female.gibbon
6	Spectrogram 1	1	381.663	387.893	500	1600	S17_20180302_080003	SVM	0.015	female.gibbon
7	Spectrogram 1	1	424.124	429.704	500	1600	S17_20180302_080003	RF	0.242	female.gibbon
8	Spectrogram 1	1	424.124	429.704	500	1600	S17_20180302_080003	SVM	0.287	female.gibbon
9	Spectrogram 1	1	653.802	660.142	500	1600	S17_20180302_080003	RF	0.01	female.gibbon
10	Spectrogram 1	1	653.802	660.142	500	1600	S17_20180302_080003	SVM	0.002	female.gibbon
11	Spectrogram 1	1	663.552	670.382	500	1600	S17_20180302_080003	RF	0.006	female.gibbon
12	Spectrogram 1	1	663.552	670.382	500	1600	S17_20180302_080003	SVM	0.005	female.gibbon
13	Spectrogram 1	1	1375.086	1386.206	500	1600	S17_20180302_080003	RF	0.058	female.gibbon
14	Spectrogram 1	1	1375.086	1386.206	500	1600	S17_20180302_080003	SVM	0	female.gibbon
15	Spectrogram 1	1	1449.468	1454.809	500	1600	S17_20180302_080003	RF	0.002	female.gibbon
16	Spectrogram 1	1	1449.468	1454.809	500	1600	S17_20180302_080003	SVM	0	female.gibbon
17	Spectrogram 1	1	1664.516	1671.376	500	1600	S17_20180302_080003	RF	0.044	female.gibbon
18	Spectrogram 1	1	1664.516	1671.376	500	1600	S17_20180302_080003	SVM	0	female.gibbon
19	Spectrogram 1	1	1712.787	1718.327	500	1600	S17_20180302_080003	RF	0.096	female.gibbon
20	Spectrogram 1	1	1712.787	1718.327	500	1600	S17_20180302_080003	SVM	0.008	female.gibbon
21	Spectrogram 1	1	1736.578	1748.628	500	1600	S17_20180302_080003	RF	0.008	female.gibbon
22	Spectrogram 1	1	1736.578	1748.628	500	1600	S17_20180302_080003	SVM	0	female.gibbon
23	Spectrogram 1	1	1761.899	1768.599	500	1600	S17_20180302_080003	RF	0.006	female.gibbon
24	Spectrogram 1	1	1761.899	1768.599	500	1600	S17_20180302_080003	SVM	0	female.gibbon
25	Spectrogram 1	1	1893.163	1898.783	500	1600	S17_20180302_080003	RF	0	female.gibbon
26	Spectrogram 1	1	1893.163	1898.783	500	1600	S17_20180302_080003	SVM	0	female.gibbon
27	Spectrogram 1	1	2014.057	2024.118	500	1600	S17_20180302_080003	RF	0.004	female.gibbon
28	Spectrogram 1	1	2014.057	2024.118	500	1600	S17_20180302_080003	SVM	0	female.gibbon
29	Spectrogram 1	1	2047.698	2055.429	500	1600	S17_20180302_080003	RF	0.008	female.gibbon
30	Spectrogram 1	1	2047.698	2055.429	500	1600	S17_20180302_080003	SVM	0.003	female.gibbon
31	Spectrogram 1	1	2078.359	2089.82	500	1600	S17_20180302_080003	RF	0.036	female.gibbon
32	Spectrogram 1	1	2078.359	2089.82	500	1600	S17_20180302_080003	SVM	0.002	female.gibbon
33	Spectrogram 1	1	2347.548	2353.629	500	1600	S17_20180302_080003	RF	0.014	female.gibbon
34	Spectrogram 1	1	2347.548	2353.629	500	1600	S17_20180302_080003	SVM	0	female.gibbon
35	Spectrogram 1	1	3415.184	3421.594	500	1600	S17_20180302_080003	RF	0.002	female.gibbon
36	Spectrogram 1	1	3415.184	3421.594	500	1600	S17_20180302_080003	SVM	0	female.gibbon
37	Spectrogram 1	1	3525.928	3531.478	500	1600	S17_20180302_080003	RF	0.116	female.gibbon
38	Spectrogram 1	1	3525.928	3531.478	500	1600	S17_20180302_080003	SVM	0.029	female.gibbon
39	Spectrogram 1	1	3533.108	3539.268	500	1600	S17_20180302_080003	RF	0.028	female.gibbon
40	Spectrogram 1	1	3533.108	3539.268	500	1600	S17_20180302_080003	SVM	0.006	female.gibbon
41	Spectrogram 1	1	3859.949	3865.109	500	1600	S17_20180302_080003	RF	0.014	female.gibbon
42	Spectrogram 1	1	3859.949	3865.109	500	1600	S17_20180302_080003	SVM	0.004	female.gibbon
43	Spectrogram 1	1	3871.519	3876.709	500	1600	S17_20180302_080003	RF	0.008	female.gibbon
44	Spectrogram 1	1	3871.519	3876.709	500	1600	S17_20180302_080003	SVM	0.005	female.gibbon
45	Spectrogram 1	1	4123.547	4128.788	500	1600	S17_20180302_080003	RF	0.006	female.gibbon
46	Spectrogram 1	1	4123.547	4128.788	500	1600	S17_20180302_080003	SVM	0	female.gibbon
47	Spectrogram 1	1	4213.04	4218.611	500	1600	S17_20180302_080003	RF	0.01	female.gibbon
48	Spectrogram 1	1	4213.04	4218.611	500	1600	S17_20180302_080003	SVM	0.003	female.gibbon
49	Spectrogram 1	1	4254.072	4261.242	500	1600	S17_20180302_080003	RF	0.002	female.gibbon
50	Spectrogram 1	1	4254.072	4261.242	500	1600	S17_20180302_080003	SVM	0.002	female.gibbon
51	Spectrogram 1	1	4527.001	4532.491	500	1600	S17_20180302_080003	RF	0	female.gibbon
52	Spectrogram 1	1	4527.001	4532.491	500	1600	S17_20180302_080003	SVM	0	female.gibbon
53	Spectrogram 1	1	4623.664	4633.034	500	1600	S17_20180302_080003	RF	0	female.gibbon
54	Spectrogram 1	1	4623.664	4633.034	500	1600	S17_20180302_080003	SVM	0	female.gibbon
55	Spectrogram 1	1	4807.91	4812.97	500	1600	S17_20180302_080003	RF	0.002	female.gibbon
56	Spectrogram 1	1	4807.91	4812.97	500	1600	S17_20180302_080003	SVM	0.002	female.gibbon
57	Spectrogram 1	1	5191.423	5196.623	500	1600	S17_20180302_080003	RF	0.006	female.gibbon
58	Spectrogram 1	1	5191.423	5196.623	500	1600	S17_20180302_080003	SVM	0	female.gibbon
59	Spectrogram 1	1	5267.876	5273.146	500	1600	S17_20180302_080003	RF	0.002	female.gibbon
60	Spectrogram 1	1	5267.876	5273.146	500	1600	S17_20180302_080003	SVM	0.004	female.gibbon
61	Spectrogram 1	1	5674.989	5681.069	500	1600	S17_20180302_080003	RF	0.014	female.gibbon
62	Spectrogram 1	1	5674.989	5681.069	500	1600	S17_20180302_080003	SVM	0.003	female.gibbon
63	Spectrogram 1	1	5770.002	5775.533	500	1600	S17_20180302_080003	RF	0.014	female.gibbon
64	Spectrogram 1	1	5770.002	5775.533	500	1600	S17_20180302_080003	SVM	0.003	female.gibbon
65	Spectrogram 1	1	6008.09	6016.651	500	1600	S17_20180302_080003	RF	0.012	female.gibbon
66	Spectrogram 1	1	6008.09	6016.651	500	1600	S17_20180302_080003	SVM	0.006	female.gibbon
67	Spectrogram 1	1	6030.141	6036.691	500	1600	S17_20180302_080003	RF	0.01	female.gibbon
68	Spectrogram 1	1	6030.141	6036.691	500	1600	S17_20180302_080003	SVM	0.004	female.gibbon
69	Spectrogram 1	1	6052.862	6058.642	500	1600	S17_20180302_080003	RF	0.018	female.gibbon
70	Spectrogram 1	1	6052.862	6058.642	500	1600	S17_20180302_080003	SVM	0.005	female.gibbon
71	Spectrogram 1	1	6134.074	6151.805	500	1600	S17_20180302_080003	RF	0.094	female.gibbon
72	Spectrogram 1	1	6134.074	6151.805	500	1600	S17_20180302_080003	SVM	0.002	female.gibbon
73	Spectrogram 1	1	6974.084	6988.755	500	1600	S17_20180302_080003	RF	0	female.gibbon
74	Spectrogram 1	1	6974.084	6988.755	500	1600	S17_20180302_080003	SVM	0	female.gibbon
