Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	1206.69	1216.971	500	1600	S14_20180313_080003	RF	0.002	female.gibbon
2	Spectrogram 1	1	1206.69	1216.971	500	1600	S14_20180313_080003	SVM	0	female.gibbon
3	Spectrogram 1	1	1276.483	1284.453	500	1600	S14_20180313_080003	RF	0	female.gibbon
4	Spectrogram 1	1	1276.483	1284.453	500	1600	S14_20180313_080003	SVM	0	female.gibbon
5	Spectrogram 1	1	1835.321	1865.512	500	1600	S14_20180313_080003	RF	0.329	female.gibbon
6	Spectrogram 1	1	1835.321	1865.512	500	1600	S14_20180313_080003	SVM	0.1725	female.gibbon
7	Spectrogram 1	1	1874.112	1885.803	500	1600	S14_20180313_080003	RF	0.566	female.gibbon
8	Spectrogram 1	1	1874.112	1885.803	500	1600	S14_20180313_080003	SVM	0.584	female.gibbon
9	Spectrogram 1	1	1888.153	1912.034	500	1600	S14_20180313_080003	RF	0.275	female.gibbon
10	Spectrogram 1	1	1888.153	1912.034	500	1600	S14_20180313_080003	SVM	0.316	female.gibbon
11	Spectrogram 1	1	1914.644	1923.084	500	1600	S14_20180313_080003	RF	0.186	female.gibbon
12	Spectrogram 1	1	1914.644	1923.084	500	1600	S14_20180313_080003	SVM	0.012	female.gibbon
13	Spectrogram 1	1	1928.844	1936.655	500	1600	S14_20180313_080003	RF	0.506	female.gibbon
14	Spectrogram 1	1	1928.844	1936.655	500	1600	S14_20180313_080003	SVM	0.279	female.gibbon
15	Spectrogram 1	1	1944.035	1950.115	500	1600	S14_20180313_080003	RF	0.464	female.gibbon
16	Spectrogram 1	1	1944.035	1950.115	500	1600	S14_20180313_080003	SVM	0.695	female.gibbon
17	Spectrogram 1	1	1969.006	1979.126	500	1600	S14_20180313_080003	RF	0.998	female.gibbon
18	Spectrogram 1	1	1969.006	1979.126	500	1600	S14_20180313_080003	SVM	0.997	female.gibbon
19	Spectrogram 1	1	2030.748	2041.898	500	1600	S14_20180313_080003	RF	0.994	female.gibbon
20	Spectrogram 1	1	2030.748	2041.898	500	1600	S14_20180313_080003	SVM	0.997	female.gibbon
21	Spectrogram 1	1	2104.47	2116.151	500	1600	S14_20180313_080003	RF	1	female.gibbon
22	Spectrogram 1	1	2104.47	2116.151	500	1600	S14_20180313_080003	SVM	0.998	female.gibbon
23	Spectrogram 1	1	2179.943	2192.133	500	1600	S14_20180313_080003	RF	0.926	female.gibbon
24	Spectrogram 1	1	2179.943	2192.133	500	1600	S14_20180313_080003	SVM	0.997	female.gibbon
25	Spectrogram 1	1	2255.635	2265.576	500	1600	S14_20180313_080003	RF	0.99	female.gibbon
26	Spectrogram 1	1	2255.635	2265.576	500	1600	S14_20180313_080003	SVM	0.998	female.gibbon
27	Spectrogram 1	1	2296.037	2301.107	500	1600	S14_20180313_080003	RF	0.308	female.gibbon
28	Spectrogram 1	1	2296.037	2301.107	500	1600	S14_20180313_080003	SVM	0.576	female.gibbon
29	Spectrogram 1	1	2328.508	2344.388	500	1600	S14_20180313_080003	RF	0.598	female.gibbon
30	Spectrogram 1	1	2328.508	2344.388	500	1600	S14_20180313_080003	SVM	0.543	female.gibbon
31	Spectrogram 1	1	2352.588	2357.929	500	1600	S14_20180313_080003	RF	0.338	female.gibbon
32	Spectrogram 1	1	2352.588	2357.929	500	1600	S14_20180313_080003	SVM	0.238	female.gibbon
33	Spectrogram 1	1	2400	2406.41	500	1600	S14_20180313_080003	RF	0.118	female.gibbon
34	Spectrogram 1	1	2400	2406.41	500	1600	S14_20180313_080003	SVM	0	female.gibbon
35	Spectrogram 1	1	2421.721	2437.391	500	1600	S14_20180313_080003	RF	0.952	female.gibbon
