Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	134.044	139.415	500	1600	S11_20180314_080003	RF	0.014	female.gibbon
2	Spectrogram 1	1	134.044	139.415	500	1600	S11_20180314_080003	SVM	0.017	female.gibbon
3	Spectrogram 1	1	173.576	179.016	500	1600	S11_20180314_080003	RF	0.01	female.gibbon
4	Spectrogram 1	1	173.576	179.016	500	1600	S11_20180314_080003	SVM	0	female.gibbon
5	Spectrogram 1	1	346.432	352.682	500	1600	S11_20180314_080003	RF	0.012	female.gibbon
6	Spectrogram 1	1	346.432	352.682	500	1600	S11_20180314_080003	SVM	0.002	female.gibbon
7	Spectrogram 1	1	357.622	362.822	500	1600	S11_20180314_080003	RF	0.01	female.gibbon
8	Spectrogram 1	1	357.622	362.822	500	1600	S11_20180314_080003	SVM	0.004	female.gibbon
9	Spectrogram 1	1	579.219	587.06	500	1600	S11_20180314_080003	RF	0.15	female.gibbon
10	Spectrogram 1	1	579.219	587.06	500	1600	S11_20180314_080003	SVM	0.2	female.gibbon
11	Spectrogram 1	1	657.002	662.572	500	1600	S11_20180314_080003	RF	0.15	female.gibbon
12	Spectrogram 1	1	657.002	662.572	500	1600	S11_20180314_080003	SVM	0.014	female.gibbon
13	Spectrogram 1	1	670.242	684.513	500	1600	S11_20180314_080003	RF	0.1	female.gibbon
14	Spectrogram 1	1	670.242	684.513	500	1600	S11_20180314_080003	SVM	0.003	female.gibbon
15	Spectrogram 1	1	701.083	707.954	500	1600	S11_20180314_080003	RF	0.298	female.gibbon
16	Spectrogram 1	1	701.083	707.954	500	1600	S11_20180314_080003	SVM	0.306	female.gibbon
17	Spectrogram 1	1	723.744	731.124	500	1600	S11_20180314_080003	RF	0.086	female.gibbon
18	Spectrogram 1	1	723.744	731.124	500	1600	S11_20180314_080003	SVM	0.003	female.gibbon
19	Spectrogram 1	1	739.095	753.535	500	1600	S11_20180314_080003	RF	0.73	female.gibbon
20	Spectrogram 1	1	739.095	753.535	500	1600	S11_20180314_080003	SVM	0.995	female.gibbon
21	Spectrogram 1	1	776.186	786.656	500	1600	S11_20180314_080003	RF	0.998	female.gibbon
22	Spectrogram 1	1	776.186	786.656	500	1600	S11_20180314_080003	SVM	0.999	female.gibbon
23	Spectrogram 1	1	815.507	821.367	500	1600	S11_20180314_080003	RF	0.602	female.gibbon
24	Spectrogram 1	1	815.507	821.367	500	1600	S11_20180314_080003	SVM	0.995	female.gibbon
25	Spectrogram 1	1	842.118	851.198	500	1600	S11_20180314_080003	RF	0.888	female.gibbon
26	Spectrogram 1	1	842.118	851.198	500	1600	S11_20180314_080003	SVM	0.999	female.gibbon
