Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	169.446	174.506	500	1600	S10_20180624_080003	SVM	0.012	female.gibbon
2	Spectrogram 1	1	341.321	349.112	500	1600	S10_20180624_080003	SVM	0.011	female.gibbon
3	Spectrogram 1	1	545.888	552.118	500	1600	S10_20180624_080003	SVM	0	female.gibbon
4	Spectrogram 1	1	1132.968	1149.418	500	1600	S10_20180624_080003	SVM	0.012	female.gibbon
5	Spectrogram 1	1	1182.509	1188.42	500	1600	S10_20180624_080003	SVM	0.003	female.gibbon
6	Spectrogram 1	1	1202.68	1207.92	500	1600	S10_20180624_080003	SVM	0.017	female.gibbon
7	Spectrogram 1	1	1528.671	1534.181	500	1600	S10_20180624_080003	SVM	0.014	female.gibbon
8	Spectrogram 1	1	1535.951	1541.321	500	1600	S10_20180624_080003	SVM	0.007	female.gibbon
9	Spectrogram 1	1	1551.552	1562.632	500	1600	S10_20180624_080003	SVM	0.03	female.gibbon
10	Spectrogram 1	1	1564.052	1576.643	500	1600	S10_20180624_080003	SVM	0.014	female.gibbon
11	Spectrogram 1	1	1587.723	1592.843	500	1600	S10_20180624_080003	SVM	0.009	female.gibbon
12	Spectrogram 1	1	2086.23	2092.19	500	1600	S10_20180624_080003	SVM	0.003	female.gibbon
13	Spectrogram 1	1	2320.827	2328.408	500	1600	S10_20180624_080003	SVM	0	female.gibbon
14	Spectrogram 1	1	2511.494	2517.234	500	1600	S10_20180624_080003	SVM	0.006	female.gibbon
15	Spectrogram 1	1	2540.665	2559.105	500	1600	S10_20180624_080003	SVM	0.012	female.gibbon
16	Spectrogram 1	1	2561.925	2573.986	500	1600	S10_20180624_080003	SVM	0	female.gibbon
17	Spectrogram 1	1	2701.11	2717.501	500	1600	S10_20180624_080003	SVM	0	female.gibbon
18	Spectrogram 1	1	2740.411	2750.952	500	1600	S10_20180624_080003	SVM	0	female.gibbon
19	Spectrogram 1	1	2797.713	2802.793	500	1600	S10_20180624_080003	SVM	0.003	female.gibbon
20	Spectrogram 1	1	2817.064	2822.744	500	1600	S10_20180624_080003	SVM	0	female.gibbon
21	Spectrogram 1	1	3494.747	3500.237	500	1600	S10_20180624_080003	SVM	0.015	female.gibbon
22	Spectrogram 1	1	3828.378	3835.508	500	1600	S10_20180624_080003	SVM	0.002	female.gibbon
23	Spectrogram 1	1	4484.64	4494.87	500	1600	S10_20180624_080003	SVM	0	female.gibbon
24	Spectrogram 1	1	4547.762	4560.512	500	1600	S10_20180624_080003	SVM	0.026	female.gibbon
25	Spectrogram 1	1	4950.505	4961.725	500	1600	S10_20180624_080003	SVM	0	female.gibbon
26	Spectrogram 1	1	4965.396	4971.506	500	1600	S10_20180624_080003	SVM	0	female.gibbon
27	Spectrogram 1	1	5240.675	5250.115	500	1600	S10_20180624_080003	SVM	0.006	female.gibbon
28	Spectrogram 1	1	5326.418	5331.848	500	1600	S10_20180624_080003	SVM	0.002	female.gibbon
29	Spectrogram 1	1	5332.848	5360.479	500	1600	S10_20180624_080003	SVM	0	female.gibbon
30	Spectrogram 1	1	5400.29	5407.74	500	1600	S10_20180624_080003	SVM	0.002	female.gibbon
31	Spectrogram 1	1	5413.3	5451.342	500	1600	S10_20180624_080003	SVM	0.0035	female.gibbon
32	Spectrogram 1	1	5503.703	5509.574	500	1600	S10_20180624_080003	SVM	0.03	female.gibbon
33	Spectrogram 1	1	5800.043	5805.094	500	1600	S10_20180624_080003	SVM	0.049	female.gibbon
34	Spectrogram 1	1	6072.762	6077.983	500	1600	S10_20180624_080003	SVM	0.015	female.gibbon
35	Spectrogram 1	1	6135.385	6142.105	500	1600	S10_20180624_080003	SVM	0.101	female.gibbon
36	Spectrogram 1	1	6152.595	6173.086	500	1600	S10_20180624_080003	SVM	0.04	female.gibbon
37	Spectrogram 1	1	6307.35	6313.27	500	1600	S10_20180624_080003	SVM	0.04	female.gibbon
38	Spectrogram 1	1	6728.224	6734.635	500	1600	S10_20180624_080003	SVM	0.042	female.gibbon
39	Spectrogram 1	1	6812.737	6819.407	500	1600	S10_20180624_080003	SVM	0.08	female.gibbon
40	Spectrogram 1	1	6966.864	6977.934	500	1600	S10_20180624_080003	SVM	0	female.gibbon
41	Spectrogram 1	1	6983.635	6991.425	500	1600	S10_20180624_080003	SVM	0	female.gibbon
42	Spectrogram 1	1	6993.565	7008.226	500	1600	S10_20180624_080003	SVM	0	female.gibbon
43	Spectrogram 1	1	7031.327	7037.888	500	1600	S10_20180624_080003	SVM	0	female.gibbon
44	Spectrogram 1	1	7049.098	7054.199	500	1600	S10_20180624_080003	SVM	0	female.gibbon
45	Spectrogram 1	1	7057.199	7071.059	500	1600	S10_20180624_080003	SVM	0	female.gibbon
46	Spectrogram 1	1	7076.05	7083.2	500	1600	S10_20180624_080003	SVM	0.002	female.gibbon
