Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	31.861	38.601	500	1600	S17_20180220_100004	RF	0.002	female.gibbon
2	Spectrogram 1	1	31.861	38.601	500	1600	S17_20180220_100004	SVM	0	female.gibbon
3	Spectrogram 1	1	51.452	56.832	500	1600	S17_20180220_100004	RF	0.02	female.gibbon
4	Spectrogram 1	1	51.452	56.832	500	1600	S17_20180220_100004	SVM	0.002	female.gibbon
5	Spectrogram 1	1	102.713	135.475	500	1600	S17_20180220_100004	RF	0.115	female.gibbon
6	Spectrogram 1	1	102.713	135.475	500	1600	S17_20180220_100004	SVM	0.004	female.gibbon
7	Spectrogram 1	1	281.729	286.81	500	1600	S17_20180220_100004	RF	0.004	female.gibbon
8	Spectrogram 1	1	281.729	286.81	500	1600	S17_20180220_100004	SVM	0	female.gibbon
9	Spectrogram 1	1	313.11	318.991	500	1600	S17_20180220_100004	RF	0.014	female.gibbon
10	Spectrogram 1	1	313.11	318.991	500	1600	S17_20180220_100004	SVM	0	female.gibbon
11	Spectrogram 1	1	387.033	395.413	500	1600	S17_20180220_100004	RF	0.512	female.gibbon
12	Spectrogram 1	1	387.033	395.413	500	1600	S17_20180220_100004	SVM	0.747	female.gibbon
13	Spectrogram 1	1	488.036	499.637	500	1600	S17_20180220_100004	RF	0.58	female.gibbon
14	Spectrogram 1	1	488.036	499.637	500	1600	S17_20180220_100004	SVM	0.99	female.gibbon
15	Spectrogram 1	1	668.902	674.873	500	1600	S17_20180220_100004	RF	0.042	female.gibbon
16	Spectrogram 1	1	668.902	674.873	500	1600	S17_20180220_100004	SVM	0	female.gibbon
17	Spectrogram 1	1	692.963	698.353	500	1600	S17_20180220_100004	RF	0.016	female.gibbon
18	Spectrogram 1	1	692.963	698.353	500	1600	S17_20180220_100004	SVM	0	female.gibbon
19	Spectrogram 1	1	731.634	740.505	500	1600	S17_20180220_100004	RF	0.002	female.gibbon
20	Spectrogram 1	1	731.634	740.505	500	1600	S17_20180220_100004	SVM	0	female.gibbon
21	Spectrogram 1	1	833.018	838.408	500	1600	S17_20180220_100004	RF	0	female.gibbon
22	Spectrogram 1	1	833.018	838.408	500	1600	S17_20180220_100004	SVM	0	female.gibbon
23	Spectrogram 1	1	1064.266	1078.446	500	1600	S17_20180220_100004	RF	0.032	female.gibbon
24	Spectrogram 1	1	1064.266	1078.446	500	1600	S17_20180220_100004	SVM	0	female.gibbon
25	Spectrogram 1	1	1352.165	1359.285	500	1600	S17_20180220_100004	RF	0	female.gibbon
26	Spectrogram 1	1	1352.165	1359.285	500	1600	S17_20180220_100004	SVM	0	female.gibbon
27	Spectrogram 1	1	1363.765	1369.076	500	1600	S17_20180220_100004	RF	0.008	female.gibbon
28	Spectrogram 1	1	1363.765	1369.076	500	1600	S17_20180220_100004	SVM	0	female.gibbon
29	Spectrogram 1	1	1449.988	1455.419	500	1600	S17_20180220_100004	RF	0.006	female.gibbon
30	Spectrogram 1	1	1449.988	1455.419	500	1600	S17_20180220_100004	SVM	0	female.gibbon
31	Spectrogram 1	1	1702.577	1707.897	500	1600	S17_20180220_100004	RF	0.006	female.gibbon
32	Spectrogram 1	1	1702.577	1707.897	500	1600	S17_20180220_100004	SVM	0	female.gibbon
33	Spectrogram 1	1	1730.828	1736.788	500	1600	S17_20180220_100004	RF	0.012	female.gibbon
34	Spectrogram 1	1	1730.828	1736.788	500	1600	S17_20180220_100004	SVM	0	female.gibbon
35	Spectrogram 1	1	1739.788	1745.028	500	1600	S17_20180220_100004	RF	0.006	female.gibbon
36	Spectrogram 1	1	1739.788	1745.028	500	1600	S17_20180220_100004	SVM	0	female.gibbon
37	Spectrogram 1	1	1747.288	1752.548	500	1600	S17_20180220_100004	RF	0.006	female.gibbon
38	Spectrogram 1	1	1747.288	1752.548	500	1600	S17_20180220_100004	SVM	0	female.gibbon
39	Spectrogram 1	1	1957.245	1962.385	500	1600	S17_20180220_100004	RF	0.004	female.gibbon
40	Spectrogram 1	1	1957.245	1962.385	500	1600	S17_20180220_100004	SVM	0	female.gibbon
41	Spectrogram 1	1	2548.785	2553.835	500	1600	S17_20180220_100004	RF	0.182	female.gibbon
42	Spectrogram 1	1	2548.785	2553.835	500	1600	S17_20180220_100004	SVM	0.046	female.gibbon
43	Spectrogram 1	1	2752.062	2762.362	500	1600	S17_20180220_100004	RF	0	female.gibbon
44	Spectrogram 1	1	2752.062	2762.362	500	1600	S17_20180220_100004	SVM	0	female.gibbon
45	Spectrogram 1	1	2770.462	2776.443	500	1600	S17_20180220_100004	RF	0.002	female.gibbon
46	Spectrogram 1	1	2770.462	2776.443	500	1600	S17_20180220_100004	SVM	0	female.gibbon
47	Spectrogram 1	1	2798.783	2804.193	500	1600	S17_20180220_100004	RF	0.02	female.gibbon
48	Spectrogram 1	1	2798.783	2804.193	500	1600	S17_20180220_100004	SVM	0	female.gibbon
49	Spectrogram 1	1	2817.234	2822.504	500	1600	S17_20180220_100004	RF	0.006	female.gibbon
50	Spectrogram 1	1	2817.234	2822.504	500	1600	S17_20180220_100004	SVM	0.002	female.gibbon
51	Spectrogram 1	1	2948.198	2953.408	500	1600	S17_20180220_100004	RF	0.008	female.gibbon
52	Spectrogram 1	1	2948.198	2953.408	500	1600	S17_20180220_100004	SVM	0	female.gibbon
53	Spectrogram 1	1	3043.401	3066.072	500	1600	S17_20180220_100004	RF	0.03	female.gibbon
54	Spectrogram 1	1	3043.401	3066.072	500	1600	S17_20180220_100004	SVM	0	female.gibbon
55	Spectrogram 1	1	3081.503	3095.843	500	1600	S17_20180220_100004	RF	0.072	female.gibbon
56	Spectrogram 1	1	3081.503	3095.843	500	1600	S17_20180220_100004	SVM	0.0035	female.gibbon
57	Spectrogram 1	1	3105.694	3111.374	500	1600	S17_20180220_100004	RF	0.046	female.gibbon
58	Spectrogram 1	1	3105.694	3111.374	500	1600	S17_20180220_100004	SVM	0.008	female.gibbon
59	Spectrogram 1	1	3124.474	3130.944	500	1600	S17_20180220_100004	RF	0.016	female.gibbon
60	Spectrogram 1	1	3124.474	3130.944	500	1600	S17_20180220_100004	SVM	0	female.gibbon
61	Spectrogram 1	1	3144.815	3157.935	500	1600	S17_20180220_100004	RF	0.012	female.gibbon
62	Spectrogram 1	1	3144.815	3157.935	500	1600	S17_20180220_100004	SVM	0	female.gibbon
63	Spectrogram 1	1	3533.768	3540.098	500	1600	S17_20180220_100004	RF	0.05	female.gibbon
64	Spectrogram 1	1	3533.768	3540.098	500	1600	S17_20180220_100004	SVM	0.002	female.gibbon
65	Spectrogram 1	1	3543.598	3554.479	500	1600	S17_20180220_100004	RF	0.032	female.gibbon
66	Spectrogram 1	1	3543.598	3554.479	500	1600	S17_20180220_100004	SVM	0	female.gibbon
67	Spectrogram 1	1	3627.311	3632.871	500	1600	S17_20180220_100004	RF	0.02	female.gibbon
68	Spectrogram 1	1	3627.311	3632.871	500	1600	S17_20180220_100004	SVM	0.004	female.gibbon
69	Spectrogram 1	1	3863.319	3868.769	500	1600	S17_20180220_100004	RF	0.006	female.gibbon
70	Spectrogram 1	1	3863.319	3868.769	500	1600	S17_20180220_100004	SVM	0	female.gibbon
71	Spectrogram 1	1	4419.547	4424.838	500	1600	S17_20180220_100004	RF	0	female.gibbon
72	Spectrogram 1	1	4419.547	4424.838	500	1600	S17_20180220_100004	SVM	0.002	female.gibbon
73	Spectrogram 1	1	4545.002	4557.532	500	1600	S17_20180220_100004	RF	0.044	female.gibbon
74	Spectrogram 1	1	4545.002	4557.532	500	1600	S17_20180220_100004	SVM	0.003	female.gibbon
75	Spectrogram 1	1	4580.263	4591.213	500	1600	S17_20180220_100004	RF	0.06	female.gibbon
76	Spectrogram 1	1	4580.263	4591.213	500	1600	S17_20180220_100004	SVM	0	female.gibbon
77	Spectrogram 1	1	4603.893	4611.334	500	1600	S17_20180220_100004	RF	0.026	female.gibbon
78	Spectrogram 1	1	4603.893	4611.334	500	1600	S17_20180220_100004	SVM	0.002	female.gibbon
79	Spectrogram 1	1	4671.226	4676.486	500	1600	S17_20180220_100004	RF	0.006	female.gibbon
80	Spectrogram 1	1	4671.226	4676.486	500	1600	S17_20180220_100004	SVM	0	female.gibbon
81	Spectrogram 1	1	4767.899	4775.029	500	1600	S17_20180220_100004	RF	0.084	female.gibbon
82	Spectrogram 1	1	4767.899	4775.029	500	1600	S17_20180220_100004	SVM	0.004	female.gibbon
83	Spectrogram 1	1	4988.256	5000.997	500	1600	S17_20180220_100004	RF	0	female.gibbon
84	Spectrogram 1	1	4988.256	5000.997	500	1600	S17_20180220_100004	SVM	0	female.gibbon
85	Spectrogram 1	1	5008.517	5015.477	500	1600	S17_20180220_100004	RF	0.006	female.gibbon
86	Spectrogram 1	1	5008.517	5015.477	500	1600	S17_20180220_100004	SVM	0	female.gibbon
