Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	3.69	28.771	500	1600	S17_20180408_060002	RF	0.014	female.gibbon
2	Spectrogram 1	1	3.69	28.771	500	1600	S17_20180408_060002	SVM	0.004	female.gibbon
3	Spectrogram 1	1	54.482	60.882	500	1600	S17_20180408_060002	RF	0.14	female.gibbon
4	Spectrogram 1	1	54.482	60.882	500	1600	S17_20180408_060002	SVM	0.028	female.gibbon
5	Spectrogram 1	1	62.722	68.572	500	1600	S17_20180408_060002	RF	0.228	female.gibbon
6	Spectrogram 1	1	62.722	68.572	500	1600	S17_20180408_060002	SVM	0.022	female.gibbon
7	Spectrogram 1	1	94.713	101.093	500	1600	S17_20180408_060002	RF	0.104	female.gibbon
8	Spectrogram 1	1	94.713	101.093	500	1600	S17_20180408_060002	SVM	0.013	female.gibbon
9	Spectrogram 1	1	107.654	125.414	500	1600	S17_20180408_060002	RF	0.142	female.gibbon
10	Spectrogram 1	1	107.654	125.414	500	1600	S17_20180408_060002	SVM	0.006	female.gibbon
11	Spectrogram 1	1	131.474	137.175	500	1600	S17_20180408_060002	RF	0.168	female.gibbon
12	Spectrogram 1	1	131.474	137.175	500	1600	S17_20180408_060002	SVM	0.048	female.gibbon
13	Spectrogram 1	1	141.515	150.975	500	1600	S17_20180408_060002	RF	0.15	female.gibbon
14	Spectrogram 1	1	141.515	150.975	500	1600	S17_20180408_060002	SVM	0.012	female.gibbon
15	Spectrogram 1	1	168.416	181.036	500	1600	S17_20180408_060002	RF	0.312	female.gibbon
16	Spectrogram 1	1	168.416	181.036	500	1600	S17_20180408_060002	SVM	0.013	female.gibbon
17	Spectrogram 1	1	300	305.64	500	1600	S17_20180408_060002	RF	0.184	female.gibbon
18	Spectrogram 1	1	300	305.64	500	1600	S17_20180408_060002	SVM	0.053	female.gibbon
19	Spectrogram 1	1	310.33	318.161	500	1600	S17_20180408_060002	RF	0.212	female.gibbon
20	Spectrogram 1	1	310.33	318.161	500	1600	S17_20180408_060002	SVM	0.043	female.gibbon
21	Spectrogram 1	1	324.041	329.641	500	1600	S17_20180408_060002	RF	0.31	female.gibbon
22	Spectrogram 1	1	324.041	329.641	500	1600	S17_20180408_060002	SVM	0.145	female.gibbon
23	Spectrogram 1	1	352.012	358.002	500	1600	S17_20180408_060002	RF	0.186	female.gibbon
24	Spectrogram 1	1	352.012	358.002	500	1600	S17_20180408_060002	SVM	0.026	female.gibbon
25	Spectrogram 1	1	366.312	372.632	500	1600	S17_20180408_060002	RF	0.27	female.gibbon
26	Spectrogram 1	1	366.312	372.632	500	1600	S17_20180408_060002	SVM	0.129	female.gibbon
27	Spectrogram 1	1	400.203	405.724	500	1600	S17_20180408_060002	RF	0.174	female.gibbon
28	Spectrogram 1	1	400.203	405.724	500	1600	S17_20180408_060002	SVM	0.103	female.gibbon
29	Spectrogram 1	1	426.884	432.314	500	1600	S17_20180408_060002	RF	0.366	female.gibbon
30	Spectrogram 1	1	426.884	432.314	500	1600	S17_20180408_060002	SVM	0.283	female.gibbon
31	Spectrogram 1	1	466.006	471.256	500	1600	S17_20180408_060002	RF	0.152	female.gibbon
32	Spectrogram 1	1	466.006	471.256	500	1600	S17_20180408_060002	SVM	0.035	female.gibbon
33	Spectrogram 1	1	529.018	536.618	500	1600	S17_20180408_060002	RF	0.156	female.gibbon
34	Spectrogram 1	1	529.018	536.618	500	1600	S17_20180408_060002	SVM	0.005	female.gibbon
35	Spectrogram 1	1	633.841	640.091	500	1600	S17_20180408_060002	RF	0.198	female.gibbon
36	Spectrogram 1	1	633.841	640.091	500	1600	S17_20180408_060002	SVM	0.105	female.gibbon
37	Spectrogram 1	1	645.122	654.662	500	1600	S17_20180408_060002	RF	0.18	female.gibbon
38	Spectrogram 1	1	645.122	654.662	500	1600	S17_20180408_060002	SVM	0.02	female.gibbon
39	Spectrogram 1	1	675.623	688.743	500	1600	S17_20180408_060002	RF	0.137	female.gibbon
40	Spectrogram 1	1	675.623	688.743	500	1600	S17_20180408_060002	SVM	0.013	female.gibbon
41	Spectrogram 1	1	752.375	757.445	500	1600	S17_20180408_060002	RF	0.216	female.gibbon
42	Spectrogram 1	1	752.375	757.445	500	1600	S17_20180408_060002	SVM	0.008	female.gibbon
43	Spectrogram 1	1	783.736	790.566	500	1600	S17_20180408_060002	RF	0.176	female.gibbon
44	Spectrogram 1	1	783.736	790.566	500	1600	S17_20180408_060002	SVM	0.012	female.gibbon
45	Spectrogram 1	1	791.666	809.327	500	1600	S17_20180408_060002	RF	0.152	female.gibbon
46	Spectrogram 1	1	791.666	809.327	500	1600	S17_20180408_060002	SVM	0.027	female.gibbon
47	Spectrogram 1	1	818.187	825.298	500	1600	S17_20180408_060002	RF	0.142	female.gibbon
48	Spectrogram 1	1	818.187	825.298	500	1600	S17_20180408_060002	SVM	0.006	female.gibbon
49	Spectrogram 1	1	907.77	914.13	500	1600	S17_20180408_060002	RF	0.092	female.gibbon
50	Spectrogram 1	1	907.77	914.13	500	1600	S17_20180408_060002	SVM	0.008	female.gibbon
51	Spectrogram 1	1	940.671	948.682	500	1600	S17_20180408_060002	RF	0.19	female.gibbon
52	Spectrogram 1	1	940.671	948.682	500	1600	S17_20180408_060002	SVM	0.048	female.gibbon
53	Spectrogram 1	1	1070.886	1076.336	500	1600	S17_20180408_060002	RF	0.428	female.gibbon
