Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	469.336	474.596	500	1600	S11_20180311_080003	RF	0.062	female.gibbon
2	Spectrogram 1	1	469.336	474.596	500	1600	S11_20180311_080003	SVM	0.105	female.gibbon
3	Spectrogram 1	1	1071.076	1076.326	500	1600	S11_20180311_080003	RF	0.07	female.gibbon
4	Spectrogram 1	1	1071.076	1076.326	500	1600	S11_20180311_080003	SVM	0.005	female.gibbon
5	Spectrogram 1	1	1141.778	1151.678	500	1600	S11_20180311_080003	RF	0.914	female.gibbon
6	Spectrogram 1	1	1141.778	1151.678	500	1600	S11_20180311_080003	SVM	0.998	female.gibbon
7	Spectrogram 1	1	1227.951	1242.521	500	1600	S11_20180311_080003	RF	0.614	female.gibbon
8	Spectrogram 1	1	1227.951	1242.521	500	1600	S11_20180311_080003	SVM	0.861	female.gibbon
9	Spectrogram 1	1	1323.654	1333.924	500	1600	S11_20180311_080003	RF	0.912	female.gibbon
10	Spectrogram 1	1	1323.654	1333.924	500	1600	S11_20180311_080003	SVM	0.998	female.gibbon
11	Spectrogram 1	1	1406.837	1417.507	500	1600	S11_20180311_080003	RF	0.828	female.gibbon
12	Spectrogram 1	1	1406.837	1417.507	500	1600	S11_20180311_080003	SVM	0.999	female.gibbon
13	Spectrogram 1	1	3311.07	3316.181	500	1600	S11_20180311_080003	RF	0.002	female.gibbon
14	Spectrogram 1	1	3311.07	3316.181	500	1600	S11_20180311_080003	SVM	0	female.gibbon
15	Spectrogram 1	1	3585.79	3592.09	500	1600	S11_20180311_080003	RF	0.054	female.gibbon
16	Spectrogram 1	1	3585.79	3592.09	500	1600	S11_20180311_080003	SVM	0.002	female.gibbon
17	Spectrogram 1	1	3801.367	3807.217	500	1600	S11_20180311_080003	RF	0.006	female.gibbon
18	Spectrogram 1	1	3801.367	3807.217	500	1600	S11_20180311_080003	SVM	0	female.gibbon
19	Spectrogram 1	1	3830.528	3838.248	500	1600	S11_20180311_080003	RF	0.006	female.gibbon
20	Spectrogram 1	1	3830.528	3838.248	500	1600	S11_20180311_080003	SVM	0	female.gibbon
21	Spectrogram 1	1	4409.707	4415.347	500	1600	S11_20180311_080003	RF	0.046	female.gibbon
22	Spectrogram 1	1	4409.707	4415.347	500	1600	S11_20180311_080003	SVM	0.024	female.gibbon
23	Spectrogram 1	1	4503.6	4524.431	500	1600	S11_20180311_080003	RF	0.446	female.gibbon
24	Spectrogram 1	1	4503.6	4524.431	500	1600	S11_20180311_080003	SVM	0.4945	female.gibbon
25	Spectrogram 1	1	4550.332	4562.552	500	1600	S11_20180311_080003	RF	0.848	female.gibbon
26	Spectrogram 1	1	4550.332	4562.552	500	1600	S11_20180311_080003	SVM	0.998	female.gibbon
27	Spectrogram 1	1	4613.834	4625.644	500	1600	S11_20180311_080003	RF	0.902	female.gibbon
28	Spectrogram 1	1	4613.834	4625.644	500	1600	S11_20180311_080003	SVM	0.998	female.gibbon
29	Spectrogram 1	1	4672.606	4686.396	500	1600	S11_20180311_080003	RF	0.824	female.gibbon
30	Spectrogram 1	1	4672.606	4686.396	500	1600	S11_20180311_080003	SVM	0.999	female.gibbon
31	Spectrogram 1	1	4745.458	4755.949	500	1600	S11_20180311_080003	RF	0.848	female.gibbon
32	Spectrogram 1	1	4745.458	4755.949	500	1600	S11_20180311_080003	SVM	0.998	female.gibbon
33	Spectrogram 1	1	4810.65	4820.921	500	1600	S11_20180311_080003	RF	0.928	female.gibbon
34	Spectrogram 1	1	4810.65	4820.921	500	1600	S11_20180311_080003	SVM	0.998	female.gibbon
35	Spectrogram 1	1	4887.163	4899.803	500	1600	S11_20180311_080003	RF	0.856	female.gibbon
36	Spectrogram 1	1	4887.163	4899.803	500	1600	S11_20180311_080003	SVM	0.997	female.gibbon
37	Spectrogram 1	1	4949.735	4963.715	500	1600	S11_20180311_080003	RF	0.78	female.gibbon
38	Spectrogram 1	1	4949.735	4963.715	500	1600	S11_20180311_080003	SVM	0.994	female.gibbon
39	Spectrogram 1	1	4975.976	4981.896	500	1600	S11_20180311_080003	RF	0.29	female.gibbon
40	Spectrogram 1	1	4975.976	4981.896	500	1600	S11_20180311_080003	SVM	0.104	female.gibbon
41	Spectrogram 1	1	5009.987	5040.878	500	1600	S11_20180311_080003	RF	0.143	female.gibbon
42	Spectrogram 1	1	5009.987	5040.878	500	1600	S11_20180311_080003	SVM	0.066	female.gibbon
