Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	375.563	381.653	500	1600	S11_20180413_060002	SVM	0.019	female.gibbon
2	Spectrogram 1	1	375.563	381.653	500	1600	S11_20180413_060002	RF	0.168	female.gibbon
3	Spectrogram 1	1	624.291	629.471	500	1600	S11_20180413_060002	SVM	0.016	female.gibbon
4	Spectrogram 1	1	624.291	629.471	500	1600	S11_20180413_060002	RF	0.1	female.gibbon
5	Spectrogram 1	1	645.192	650.662	500	1600	S11_20180413_060002	SVM	0.003	female.gibbon
6	Spectrogram 1	1	645.192	650.662	500	1600	S11_20180413_060002	RF	0.082	female.gibbon
7	Spectrogram 1	1	780.536	785.816	500	1600	S11_20180413_060002	SVM	0	female.gibbon
8	Spectrogram 1	1	780.536	785.816	500	1600	S11_20180413_060002	RF	0.074	female.gibbon
9	Spectrogram 1	1	987.853	994.053	500	1600	S11_20180413_060002	SVM	0.003	female.gibbon
10	Spectrogram 1	1	987.853	994.053	500	1600	S11_20180413_060002	RF	0.012	female.gibbon
11	Spectrogram 1	1	1031.984	1037.125	500	1600	S11_20180413_060002	SVM	0.018	female.gibbon
12	Spectrogram 1	1	1031.984	1037.125	500	1600	S11_20180413_060002	RF	0.022	female.gibbon
13	Spectrogram 1	1	1297.413	1302.633	500	1600	S11_20180413_060002	SVM	0.033	female.gibbon
14	Spectrogram 1	1	1297.413	1302.633	500	1600	S11_20180413_060002	RF	0.092	female.gibbon
15	Spectrogram 1	1	1306.004	1313.434	500	1600	S11_20180413_060002	SVM	0.005	female.gibbon
16	Spectrogram 1	1	1306.004	1313.434	500	1600	S11_20180413_060002	RF	0.074	female.gibbon
17	Spectrogram 1	1	1644.955	1650.965	500	1600	S11_20180413_060002	SVM	0.02	female.gibbon
18	Spectrogram 1	1	1644.955	1650.965	500	1600	S11_20180413_060002	RF	0.048	female.gibbon
19	Spectrogram 1	1	1836.311	1841.381	500	1600	S11_20180413_060002	SVM	0.026	female.gibbon
20	Spectrogram 1	1	1836.311	1841.381	500	1600	S11_20180413_060002	RF	0.052	female.gibbon
21	Spectrogram 1	1	1847.722	1854.692	500	1600	S11_20180413_060002	SVM	0.002	female.gibbon
22	Spectrogram 1	1	1847.722	1854.692	500	1600	S11_20180413_060002	RF	0.05	female.gibbon
23	Spectrogram 1	1	1928.874	1934.215	500	1600	S11_20180413_060002	SVM	0.02	female.gibbon
24	Spectrogram 1	1	1928.874	1934.215	500	1600	S11_20180413_060002	RF	0.056	female.gibbon
25	Spectrogram 1	1	1940.715	1946.105	500	1600	S11_20180413_060002	SVM	0.026	female.gibbon
26	Spectrogram 1	1	1940.715	1946.105	500	1600	S11_20180413_060002	RF	0.07	female.gibbon
27	Spectrogram 1	1	2129.671	2134.791	500	1600	S11_20180413_060002	SVM	0.014	female.gibbon
28	Spectrogram 1	1	2129.671	2134.791	500	1600	S11_20180413_060002	RF	0.036	female.gibbon
29	Spectrogram 1	1	2493.033	2499.083	500	1600	S11_20180413_060002	SVM	0	female.gibbon
30	Spectrogram 1	1	2493.033	2499.083	500	1600	S11_20180413_060002	RF	0.026	female.gibbon
31	Spectrogram 1	1	2867.746	2882.916	500	1600	S11_20180413_060002	SVM	0.133	female.gibbon
32	Spectrogram 1	1	2867.746	2882.916	500	1600	S11_20180413_060002	RF	0.326	female.gibbon
33	Spectrogram 1	1	3154.365	3160.725	500	1600	S11_20180413_060002	SVM	0.003	female.gibbon
34	Spectrogram 1	1	3154.365	3160.725	500	1600	S11_20180413_060002	RF	0.02	female.gibbon
35	Spectrogram 1	1	3335.511	3347.452	500	1600	S11_20180413_060002	SVM	0.0155	female.gibbon
36	Spectrogram 1	1	3335.511	3347.452	500	1600	S11_20180413_060002	RF	0.015	female.gibbon
37	Spectrogram 1	1	4185.53	4191.69	500	1600	S11_20180413_060002	SVM	0	female.gibbon
38	Spectrogram 1	1	4185.53	4191.69	500	1600	S11_20180413_060002	RF	0	female.gibbon
39	Spectrogram 1	1	4801.71	4808.2	500	1600	S11_20180413_060002	SVM	0	female.gibbon
40	Spectrogram 1	1	4801.71	4808.2	500	1600	S11_20180413_060002	RF	0.012	female.gibbon
41	Spectrogram 1	1	5172.182	5181.073	500	1600	S11_20180413_060002	SVM	0	female.gibbon
42	Spectrogram 1	1	5172.182	5181.073	500	1600	S11_20180413_060002	RF	0.002	female.gibbon
43	Spectrogram 1	1	5493.413	5499.883	500	1600	S11_20180413_060002	SVM	0	female.gibbon
44	Spectrogram 1	1	5493.413	5499.883	500	1600	S11_20180413_060002	RF	0.016	female.gibbon
45	Spectrogram 1	1	5847.385	5866.876	500	1600	S11_20180413_060002	SVM	0.2105	female.gibbon
46	Spectrogram 1	1	5847.385	5866.876	500	1600	S11_20180413_060002	RF	0.387	female.gibbon
47	Spectrogram 1	1	5871.386	5878.016	500	1600	S11_20180413_060002	SVM	0.142	female.gibbon
48	Spectrogram 1	1	5871.386	5878.016	500	1600	S11_20180413_060002	RF	0.42	female.gibbon
49	Spectrogram 1	1	5907.767	5914.387	500	1600	S11_20180413_060002	SVM	0.008	female.gibbon
50	Spectrogram 1	1	5907.767	5914.387	500	1600	S11_20180413_060002	RF	0.232	female.gibbon
51	Spectrogram 1	1	5920.777	5930.038	500	1600	S11_20180413_060002	SVM	0.99	female.gibbon
52	Spectrogram 1	1	5920.777	5930.038	500	1600	S11_20180413_060002	RF	0.89	female.gibbon
53	Spectrogram 1	1	5955.789	5970.679	500	1600	S11_20180413_060002	SVM	0.611	female.gibbon
54	Spectrogram 1	1	5955.789	5970.679	500	1600	S11_20180413_060002	RF	0.634	female.gibbon
55	Spectrogram 1	1	6009.27	6021.181	500	1600	S11_20180413_060002	SVM	0.996	female.gibbon
56	Spectrogram 1	1	6009.27	6021.181	500	1600	S11_20180413_060002	RF	0.982	female.gibbon
57	Spectrogram 1	1	6025.901	6041.451	500	1600	S11_20180413_060002	SVM	0.0925	female.gibbon
58	Spectrogram 1	1	6025.901	6041.451	500	1600	S11_20180413_060002	RF	0.368	female.gibbon
59	Spectrogram 1	1	6049.092	6058.632	500	1600	S11_20180413_060002	SVM	0.088	female.gibbon
60	Spectrogram 1	1	6049.092	6058.632	500	1600	S11_20180413_060002	RF	0.338	female.gibbon
61	Spectrogram 1	1	6078.093	6088.153	500	1600	S11_20180413_060002	SVM	0.997	female.gibbon
62	Spectrogram 1	1	6078.093	6088.153	500	1600	S11_20180413_060002	RF	0.986	female.gibbon
63	Spectrogram 1	1	6197.287	6206.627	500	1600	S11_20180413_060002	SVM	0.996	female.gibbon
64	Spectrogram 1	1	6197.287	6206.627	500	1600	S11_20180413_060002	RF	0.972	female.gibbon
65	Spectrogram 1	1	6266.669	6284.07	500	1600	S11_20180413_060002	SVM	0.982	female.gibbon
66	Spectrogram 1	1	6266.669	6284.07	500	1600	S11_20180413_060002	RF	0.81	female.gibbon
67	Spectrogram 1	1	6292.04	6297.21	500	1600	S11_20180413_060002	SVM	0.995	female.gibbon
68	Spectrogram 1	1	6292.04	6297.21	500	1600	S11_20180413_060002	RF	0.714	female.gibbon
69	Spectrogram 1	1	6327.301	6338.311	500	1600	S11_20180413_060002	SVM	0.996	female.gibbon
70	Spectrogram 1	1	6327.301	6338.311	500	1600	S11_20180413_060002	RF	0.928	female.gibbon
71	Spectrogram 1	1	6352.872	6365.262	500	1600	S11_20180413_060002	SVM	0.997	female.gibbon
72	Spectrogram 1	1	6352.872	6365.262	500	1600	S11_20180413_060002	RF	0.974	female.gibbon
73	Spectrogram 1	1	6376.043	6386.433	500	1600	S11_20180413_060002	SVM	0.997	female.gibbon
74	Spectrogram 1	1	6376.043	6386.433	500	1600	S11_20180413_060002	RF	0.956	female.gibbon
75	Spectrogram 1	1	6412.474	6422.174	500	1600	S11_20180413_060002	SVM	0.991	female.gibbon
76	Spectrogram 1	1	6412.474	6422.174	500	1600	S11_20180413_060002	RF	0.88	female.gibbon
77	Spectrogram 1	1	6437.615	6450.265	500	1600	S11_20180413_060002	SVM	0.997	female.gibbon
78	Spectrogram 1	1	6437.615	6450.265	500	1600	S11_20180413_060002	RF	1	female.gibbon
79	Spectrogram 1	1	6464.216	6473.676	500	1600	S11_20180413_060002	SVM	0.996	female.gibbon
80	Spectrogram 1	1	6464.216	6473.676	500	1600	S11_20180413_060002	RF	0.868	female.gibbon
81	Spectrogram 1	1	6504.887	6512.947	500	1600	S11_20180413_060002	SVM	0.996	female.gibbon
82	Spectrogram 1	1	6504.887	6512.947	500	1600	S11_20180413_060002	RF	0.9	female.gibbon
83	Spectrogram 1	1	6523.567	6535.648	500	1600	S11_20180413_060002	SVM	0.997	female.gibbon
84	Spectrogram 1	1	6523.567	6535.648	500	1600	S11_20180413_060002	RF	1	female.gibbon
85	Spectrogram 1	1	6587.66	6598.33	500	1600	S11_20180413_060002	SVM	0.994	female.gibbon
86	Spectrogram 1	1	6587.66	6598.33	500	1600	S11_20180413_060002	RF	0.928	female.gibbon
87	Spectrogram 1	1	6622.161	6636.161	500	1600	S11_20180413_060002	SVM	0.996	female.gibbon
88	Spectrogram 1	1	6622.161	6636.161	500	1600	S11_20180413_060002	RF	0.976	female.gibbon
89	Spectrogram 1	1	6646.002	6653.812	500	1600	S11_20180413_060002	SVM	0.997	female.gibbon
90	Spectrogram 1	1	6646.002	6653.812	500	1600	S11_20180413_060002	RF	0.984	female.gibbon
91	Spectrogram 1	1	6675.623	6681.013	500	1600	S11_20180413_060002	SVM	0.252	female.gibbon
92	Spectrogram 1	1	6675.623	6681.013	500	1600	S11_20180413_060002	RF	0.436	female.gibbon
93	Spectrogram 1	1	6692.313	6703.713	500	1600	S11_20180413_060002	SVM	0.994	female.gibbon
94	Spectrogram 1	1	6692.313	6703.713	500	1600	S11_20180413_060002	RF	0.93	female.gibbon
95	Spectrogram 1	1	6723.594	6735.895	500	1600	S11_20180413_060002	SVM	0.995	female.gibbon
96	Spectrogram 1	1	6723.594	6735.895	500	1600	S11_20180413_060002	RF	0.984	female.gibbon
97	Spectrogram 1	1	6745.325	6758.925	500	1600	S11_20180413_060002	SVM	0.776	female.gibbon
98	Spectrogram 1	1	6745.325	6758.925	500	1600	S11_20180413_060002	RF	0.738	female.gibbon
99	Spectrogram 1	1	6803.787	6814.967	500	1600	S11_20180413_060002	SVM	0.996	female.gibbon
100	Spectrogram 1	1	6803.787	6814.967	500	1600	S11_20180413_060002	RF	0.986	female.gibbon
101	Spectrogram 1	1	6816.207	6826.728	500	1600	S11_20180413_060002	SVM	0.996	female.gibbon
102	Spectrogram 1	1	6816.207	6826.728	500	1600	S11_20180413_060002	RF	0.96	female.gibbon
103	Spectrogram 1	1	6865.759	6875.129	500	1600	S11_20180413_060002	SVM	0.994	female.gibbon
104	Spectrogram 1	1	6865.759	6875.129	500	1600	S11_20180413_060002	RF	0.934	female.gibbon
105	Spectrogram 1	1	6911.231	6931.652	500	1600	S11_20180413_060002	SVM	0.951	female.gibbon
106	Spectrogram 1	1	6911.231	6931.652	500	1600	S11_20180413_060002	RF	0.872	female.gibbon
