Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	File Name	model.type	probability	signal
1	Spectrogram 1	1	205.177	212.427	500	1600	S20_20180219_080003	SVM	0.385	female.gibbon
2	Spectrogram 1	1	205.177	212.427	500	1600	S20_20180219_080003	RF	0.21	female.gibbon
3	Spectrogram 1	1	263.519	270.369	500	1600	S20_20180219_080003	SVM	0.442	female.gibbon
4	Spectrogram 1	1	263.519	270.369	500	1600	S20_20180219_080003	RF	0.174	female.gibbon
5	Spectrogram 1	1	277.369	283.55	500	1600	S20_20180219_080003	SVM	0.323	female.gibbon
6	Spectrogram 1	1	277.369	283.55	500	1600	S20_20180219_080003	RF	0.154	female.gibbon
7	Spectrogram 1	1	333.201	338.321	500	1600	S20_20180219_080003	SVM	0.531	female.gibbon
8	Spectrogram 1	1	333.201	338.321	500	1600	S20_20180219_080003	RF	0.322	female.gibbon
9	Spectrogram 1	1	430.544	435.655	500	1600	S20_20180219_080003	SVM	0.48	female.gibbon
10	Spectrogram 1	1	430.544	435.655	500	1600	S20_20180219_080003	RF	0.268	female.gibbon
11	Spectrogram 1	1	494.127	510.287	500	1600	S20_20180219_080003	SVM	0.362	female.gibbon
12	Spectrogram 1	1	494.127	510.287	500	1600	S20_20180219_080003	RF	0.259	female.gibbon
13	Spectrogram 1	1	608.14	618.181	500	1600	S20_20180219_080003	SVM	0.458	female.gibbon
14	Spectrogram 1	1	608.14	618.181	500	1600	S20_20180219_080003	RF	0.334	female.gibbon
15	Spectrogram 1	1	619.251	628.521	500	1600	S20_20180219_080003	SVM	0.377	female.gibbon
16	Spectrogram 1	1	619.251	628.521	500	1600	S20_20180219_080003	RF	0.234	female.gibbon
17	Spectrogram 1	1	640.561	658.252	500	1600	S20_20180219_080003	SVM	0.224	female.gibbon
18	Spectrogram 1	1	640.561	658.252	500	1600	S20_20180219_080003	RF	0.26	female.gibbon
19	Spectrogram 1	1	970.072	978.073	500	1600	S20_20180219_080003	SVM	0.465	female.gibbon
20	Spectrogram 1	1	970.072	978.073	500	1600	S20_20180219_080003	RF	0.314	female.gibbon
